CreatedDate,pm25_Surender: Living room,pm10_Surender: Living room,aqi_Surender: Living room
01-05-2024 00:15,60,152,135
01-05-2024 00:30,62,154,136
01-05-2024 00:45,60,153,135
01-05-2024 01:00,57,148,132
01-05-2024 01:15,54,139,126
01-05-2024 01:30,53,136,124
01-05-2024 01:45,55,139,126
01-05-2024 02:00,76,171,153
01-05-2024 02:15,88,183,193
01-05-2024 02:30,96,191,220
01-05-2024 02:45,97,192,223
01-05-2024 03:00,94,190,213
01-05-2024 03:15,93,188,210
01-05-2024 03:30,80,175,167
01-05-2024 03:45,67,162,141
01-05-2024 04:00,54,138,125
01-05-2024 04:15,39,104,103
01-05-2024 04:30,37,100,100
01-05-2024 04:45,35,99,99
01-05-2024 05:00,34,95,95
01-05-2024 05:15,31,88,88
01-05-2024 05:30,27,76,76
01-05-2024 05:45,28,79,79
01-05-2024 06:00,29,82,82
01-05-2024 06:15,30,84,84
01-05-2024 06:30,44,119,113
01-05-2024 06:45,39,104,103
01-05-2024 07:00,40,107,105
01-05-2024 07:15,47,124,116
01-05-2024 07:30,48,128,119
01-05-2024 07:45,46,124,116
01-05-2024 08:00,47,123,115
01-05-2024 08:15,47,127,118
01-05-2024 08:30,51,133,122
01-05-2024 08:45,52,134,123
01-05-2024 09:00,71,163,142
01-05-2024 09:15,98,192,227
01-05-2024 09:30,120,212,300
01-05-2024 09:45,96,189,220
01-05-2024 10:00,59,145,130
01-05-2024 10:15,34,93,93
01-05-2024 10:30,31,87,87
01-05-2024 10:45,30,84,84
01-05-2024 11:00,25,71,71
01-05-2024 11:15,21,59,59
01-05-2024 11:30,20,54,54
01-05-2024 11:45,20,56,56
01-05-2024 12:00,20,56,56
01-05-2024 12:15,20,56,56
01-05-2024 12:30,21,58,58
01-05-2024 12:45,18,49,49
01-05-2024 13:00,18,51,51
01-05-2024 13:15,19,52,52
01-05-2024 13:30,25,69,69
01-05-2024 13:45,24,67,67
01-05-2024 14:00,20,55,55
01-05-2024 14:15,22,61,61
01-05-2024 14:30,23,64,64
01-05-2024 14:45,23,64,64
01-05-2024 15:00,25,70,70
01-05-2024 15:15,24,65,65
01-05-2024 15:30,29,80,80
01-05-2024 15:45,27,74,74
01-05-2024 16:00,25,70,70
01-05-2024 16:15,23,64,64
01-05-2024 16:30,22,61,61
01-05-2024 16:45,21,59,59
01-05-2024 17:00,21,61,61
01-05-2024 17:15,22,61,61
01-05-2024 17:30,23,64,64
01-05-2024 17:45,21,57,57
