id,deviceID,datetime,pm25,pm10,aqi,co2,voc,temp,humidity,battery,viral_index
5987,DELDPCC018,2024-05-01 00:00:00,64,176,151,0,0,20.9,54.2,5,0
5991,DELDPCC018,2024-05-01 00:15:00,64,176,151,0,0,20.8,54.7,5,0
5997,DELDPCC018,2024-05-01 00:35:00,64,176,151,0,0,20.7,55.3,5,0
6005,DELDPCC018,2024-05-01 00:50:00,64,176,151,0,0,20.4,56.7,5,0
6009,DELDPCC018,2024-05-01 01:05:00,81,211,174,0,0,20.3,57,5,0
6013,DELDPCC018,2024-05-01 01:20:00,81,211,174,0,0,20.1,57.3,5,0
6019,DELDPCC018,2024-05-01 01:25:00,81,211,174,0,0,20.1,57.3,5,0
6022,DELDPCC018,2024-05-01 01:45:00,81,211,174,0,0,21,49.1,5,0
6025,DELDPCC018,2024-05-01 01:50:00,81,211,174,0,0,21.7,47,5,0
6029,DELDPCC018,2024-05-01 02:00:00,88,247,198,0,0,22.4,44.1,5,0
6033,DELDPCC018,2024-05-01 02:15:00,88,247,198,0,0,21.8,45.8,5,0
6039,DELDPCC018,2024-05-01 02:35:00,88,247,198,0,0,21.1,51.6,5,0
6042,DELDPCC018,2024-05-01 02:45:00,88,247,198,0,0,20.9,52.9,5,0
6045,DELDPCC018,2024-05-01 02:50:00,88,247,198,0,0,20.8,52.4,5,0
6049,DELDPCC018,2024-05-01 03:00:00,123,278,302,0,0,20.6,52,5,0
6053,DELDPCC018,2024-05-01 03:10:00,123,278,302,0,0,21.5,48.2,5,0
6060,DELDPCC018,2024-05-01 03:30:00,123,278,302,0,0,22.7,42.6,5,0
6063,DELDPCC018,2024-05-01 03:45:00,123,278,302,0,0,22.9,42.8,5,0
6066,DELDPCC018,2024-05-01 03:50:00,123,278,302,0,0,22.9,43.3,5,0
6070,DELDPCC018,2024-05-01 04:00:00,107,299,257,0,0,23,44.4,5,0
6074,DELDPCC018,2024-05-01 04:10:00,107,299,257,0,0,23.1,44.4,5,0
6080,DELDPCC018,2024-05-01 04:30:00,107,299,257,0,0,23,45.5,5,0
6083,DELDPCC018,2024-05-01 04:45:00,107,299,257,0,0,22.7,46.5,5,0
6087,DELDPCC018,2024-05-01 04:50:00,107,299,257,0,0,22.6,46.7,5,0
6091,DELDPCC018,2024-05-01 05:05:00,52,255,205,0,0,22.5,47.4,5,0
6095,DELDPCC018,2024-05-01 05:20:00,52,255,205,0,0,22.3,48.5,5,0
6101,DELDPCC018,2024-05-01 05:30:00,52,255,205,0,0,22.2,49.1,5,0
6104,DELDPCC018,2024-05-01 05:45:00,52,255,205,0,0,22,50,5,0
6110,DELDPCC018,2024-05-01 06:05:00,44,194,163,0,0,21.8,51.5,5,0
6114,DELDPCC018,2024-05-01 06:20:00,44,194,163,0,0,21.8,51.9,5,0
6120,DELDPCC018,2024-05-01 06:35:00,44,194,163,0,0,22,52.2,5,0
