CreatedDate,pm25_Surender: Bedroom,pm10_Surender: Bedroom,aqi_Surender: Bedroom,co2_Surender: Bedroom,voc_Surender: Bedroom,temperature_Surender: Bedroom,humidity_Surender: Bedroom,pm25_Piyush: Bedroom ,pm10_Piyush: Bedroom ,aqi_Piyush: Bedroom ,co2_Piyush: Bedroom ,voc_Piyush: Bedroom ,temperature_Piyush: Bedroom ,humidity_Piyush: Bedroom ,pm25_Robin: Bedroom,pm10_Robin: Bedroom,aqi_Robin: Bedroom,co2_Robin: Bedroom,voc_Robin: Bedroom,temperature_Robin: Bedroom,humidity_Robin: Bedroom,pm25_Hisham: Bedroom,pm10_Hisham: Bedroom,aqi_Hisham: Bedroom,co2_Hisham: Bedroom,voc_Hisham: Bedroom,temperature_Hisham: Bedroom,humidity_Hisham: Bedroom,pm25_Manpreet: Bedroom,pm10_Manpreet: Bedroom,aqi_Manpreet: Bedroom,co2_Manpreet: Bedroom,voc_Manpreet: Bedroom,temperature_Manpreet: Bedroom,humidity_Manpreet: Bedroom,pm25_Abhishek Bedroom,pm10_Abhishek Bedroom,aqi_Abhishek Bedroom,co2_Abhishek Bedroom,voc_Abhishek Bedroom,temperature_Abhishek Bedroom,humidity_Abhishek Bedroom,pm25_Mariyam BR1,pm10_Mariyam BR1,aqi_Mariyam BR1,co2_Mariyam BR1,voc_Mariyam BR1,temperature_Mariyam BR1,humidity_Mariyam BR1
01-04-2024 00:00,,,,,,,,25,69,69,845,628,30,54,23,64,64,838,399,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 00:15,,,,,,,,24,65,65,811,500,30,54,22,62,62,828,330,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 00:30,,,,,,,,23,64,64,775,382,30,54,22,62,62,828,299,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 00:45,,,,,,,,23,62,62,756,357,30,54,22,61,61,826,268,28,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 01:00,,,,,,,,22,61,61,747,634,30,54,21,60,60,826,579,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 01:15,,,,,,,,21,60,60,745,456,30,54,22,60,60,815,429,28,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 01:30,,,,,,,,21,59,59,739,394,30,54,22,59,59,812,353,28,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 01:45,,,,,,,,21,57,57,738,431,30,54,21,59,59,815,335,27,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 02:00,,,,,,,,21,57,57,726,336,30,54,21,58,58,810,336,28,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 02:15,,,,,,,,21,56,56,714,313,30,53,21,59,59,800,292,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 02:30,,,,,,,,20,55,55,705,306,29,53,21,59,59,797,267,28,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 02:45,,,,,,,,20,55,55,697,275,29,53,21,58,58,805,252,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 03:00,,,,,,,,20,55,55,707,552,29,53,21,57,57,800,687,28,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 03:15,,,,,,,,21,56,56,722,834,29,53,21,58,58,795,963,27,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 03:30,,,,,,,,21,57,57,724,641,29,53,21,58,58,780,578,27,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 03:45,,,,,,,,21,58,58,732,607,29,53,21,59,59,788,495,27,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 04:00,,,,,,,,21,58,58,737,559,29,53,22,62,62,770,467,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 04:15,,,,,,,,21,56,56,736,797,29,53,24,67,67,761,418,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 04:30,,,,,,,,21,56,56,714,813,29,52,27,73,73,753,559,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 04:45,,,,,,,,22,62,62,679,567,29,51,28,78,78,752,519,28,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 05:00,,,,,,,,27,73,73,655,372,29,52,32,85,85,746,372,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 05:15,,,,,,,,28,78,78,648,352,29,52,35,92,92,741,317,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 05:30,,,,,,,,26,71,71,647,340,29,52,37,97,97,739,341,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 05:45,,,,,,,,25,68,68,652,495,29,52,35,93,93,736,280,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 06:00,,,,,,,,38,106,104,637,333,29,52,36,94,94,717,482,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 06:15,,,,,,,,40,112,108,657,844,29,52,35,92,92,699,375,27,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 06:30,,,,,,,,41,113,109,683,686,29,51,39,101,101,809,324,27,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 06:45,,,,,,,,44,123,115,701,864,29,52,61,155,137,502,7,28,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 07:00,,,,,,,,59,155,137,633,569,29,52,63,159,139,491,12,28,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 07:15,,,,,,,,70,165,143,517,246,30,51,72,177,151,626,68,28,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 07:30,,,,,,,,67,163,142,516,196,30,50,72,177,151,546,43,28,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 07:45,,,,,,,,64,161,141,526,195,31,50,58,149,133,592,53,27,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 08:00,,,,,,,,55,149,133,562,211,31,50,55,138,125,606,46,28,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 08:15,,,,,,,,48,132,121,557,225,30,51,51,126,117,600,44,28,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 08:30,,,,,,,,45,126,117,601,243,29,53,46,117,111,580,39,28,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 08:45,,,,,,,,48,132,121,670,254,30,52,42,109,106,562,34,28,51,,,,,,,,74,173,149,562,0,25,53,74,174,149,448,4,26,51,,,,,,,
01-04-2024 09:00,,,,,,,,59,155,137,724,275,30,51,40,102,101,543,31,28,51,,,,,,,,91,194,203,564,232,24,55,91,199,203,452,634,25,53,,,,,,,
01-04-2024 09:15,,,,,,,,64,162,141,746,270,31,51,39,101,101,530,35,28,51,,,,,,,,109,223,263,563,735,24,56,112,230,273,452,1556,25,54,,,,,,,
01-04-2024 09:30,,,,,,,,64,162,141,725,248,31,51,40,102,101,533,35,28,51,,,,,,,,110,224,267,565,701,24,56,116,236,287,455,1467,25,55,,,,,,,
01-04-2024 09:45,,,,,,,,65,162,141,749,249,31,51,54,138,125,704,280,28,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 10:00,,,,,,,,65,162,141,758,257,31,51,61,155,137,582,110,28,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 10:15,,,,,,,,62,159,139,759,255,31,51,56,145,130,489,25,28,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
