CreatedDate,pm25_Surender: Bedroom,pm10_Surender: Bedroom,aqi_Surender: Bedroom,co2_Surender: Bedroom,voc_Surender: Bedroom,temperature_Surender: Bedroom,humidity_Surender: Bedroom,pm25_Piyush: Bedroom ,pm10_Piyush: Bedroom ,aqi_Piyush: Bedroom ,co2_Piyush: Bedroom ,voc_Piyush: Bedroom ,temperature_Piyush: Bedroom ,humidity_Piyush: Bedroom ,pm25_Robin: Bedroom,pm10_Robin: Bedroom,aqi_Robin: Bedroom,co2_Robin: Bedroom,voc_Robin: Bedroom,temperature_Robin: Bedroom,humidity_Robin: Bedroom,pm25_Hisham: Bedroom,pm10_Hisham: Bedroom,aqi_Hisham: Bedroom,co2_Hisham: Bedroom,voc_Hisham: Bedroom,temperature_Hisham: Bedroom,humidity_Hisham: Bedroom,pm25_Manpreet: Bedroom,pm10_Manpreet: Bedroom,aqi_Manpreet: Bedroom,co2_Manpreet: Bedroom,voc_Manpreet: Bedroom,temperature_Manpreet: Bedroom,humidity_Manpreet: Bedroom,pm25_Abhishek Bedroom,pm10_Abhishek Bedroom,aqi_Abhishek Bedroom,co2_Abhishek Bedroom,voc_Abhishek Bedroom,temperature_Abhishek Bedroom,humidity_Abhishek Bedroom,pm25_Mariyam BR1,pm10_Mariyam BR1,aqi_Mariyam BR1,co2_Mariyam BR1,voc_Mariyam BR1,temperature_Mariyam BR1,humidity_Mariyam BR1
01-04-2024 01:00,,,,,,,,23.5,63.5,64,772.5,468.5,30,54,22,61.5,62,827,369.5,28,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 02:00,,,,,,,,21,58.5,58,737,404.5,30,54,21.5,59.5,60,813.5,363.5,28,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 03:00,,,,,,,,20.5,55.5,56,706,362,29.5,53,21,58.5,58,801,375,28,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 04:00,,,,,,,,21,57.5,58,729,660.5,29,53,21.5,59.5,60,783.5,626,27.5,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 05:00,,,,,,,,23,62,62,696,637.5,29,52.5,28,76,76,753,467.5,28,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 06:00,,,,,,,,29.5,81,81,646.5,380,29,52,36,94.5,94,733.5,355,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 07:00,,,,,,,,46.5,126,117,668.5,741,29,52,49.5,127,118,625.5,180,27.5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 08:00,,,,,,,,64.5,159.5,140,530.5,212,30.5,50.5,64.5,160.5,140,592.5,53,28,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 09:00,,,,,,,,50.5,136.5,124,638,249.5,30,52,45,114,109,571.5,37.5,28,51.5,,,,,,,,83,184,177,563,116,24,54,83,187,177,450,319,26,52,,,,,,,
01-04-2024 10:00,,,,,,,,64.5,162,141,745,256,31,51,49,124.5,116,587.5,115,28,51,,,,,,,,110,224,267,564,718,24,56,114,233,280,454,1512,25,55,,,,,,,
01-04-2024 11:00,,,,,,,,56.5,150,133,744.5,232,31,51,53,136.5,124,448.5,8.5,27.5,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 12:00,,,,,,,,61,152,135,691,179,31,50,47.5,125.5,117,440,62,27,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 13:00,,,,,,,,336.5,407.5,467,780,207.5,30.5,49.5,36,100.5,100,554.5,148,27,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 14:00,,,,,,,,484.5,558,580,771.5,172.5,30,50.5,31.5,87.5,88,533,145,27,52,,,,,,,,25,70,70,602,655,28,30,,,,,,,,,,,,,,
01-04-2024 15:00,,,,,,,,139,241.5,315,775,119,30.5,49.5,25,71.5,72,615.5,210.5,27,52,,,,,,,,32.5,88.5,88,647,507.5,28,29.5,31,86.5,86,463,813,28,30,,,,,,,
01-04-2024 16:00,,,,,,,,73.5,167,145,1099,172.5,29.5,54,23.5,65.5,66,727.5,358.5,27,52.5,,,,,,,,34,90,90,611,1155,28,31,32.5,89,89,496,980,34,25.5,,,,,,,
