CreatedDate,pm25_1201240072,pm10_1201240072,co2_1201240072,voc_1201240072
01-04-2024 01:00,30,82.5,426,128.5
01-04-2024 02:00,27,73.5,462.5,178.5
01-04-2024 03:00,30.5,84,464,181
01-04-2024 04:00,38.5,104.5,473.5,239
01-04-2024 05:00,66.5,163,484,262
01-04-2024 06:00,64,161,489.5,249.5
01-04-2024 07:00,90.5,191,469.5,250.5
01-04-2024 08:00,111.5,215,451.5,218.5
01-04-2024 09:00,79,176.5,459.5,197
01-04-2024 10:00,63.5,159,447.5,115
01-04-2024 11:00,39,107.5,421,68.5
01-04-2024 12:00,31.5,85.5,417.5,28
01-04-2024 13:00,21,58.5,446,28.5
01-04-2024 14:00,20.5,56,438,8.5
01-04-2024 15:00,21,57.5,428.5,6.5
01-04-2024 16:00,19,51,424,0
01-04-2024 17:00,20,53,429.5,14
01-04-2024 18:00,20,54,429.5,1
01-04-2024 19:00,21.5,60.5,429.5,44.5
01-04-2024 20:00,26,73,473,138
01-04-2024 21:00,33,92,611.5,300
01-04-2024 22:00,36.5,103,481,200.5
01-04-2024 23:00,41,114.5,458,139.5
02-04-2024 00:00,39,108.5,447,118
02-04-2024 01:00,59,154,460.5,115.5
02-04-2024 02:00,63.5,161.5,508.5,235.5
02-04-2024 03:00,66,163.5,503.5,263
02-04-2024 04:00,79,179,498,203
02-04-2024 05:00,85.5,186,495.5,308
02-04-2024 06:00,124.5,240,536,485.5
02-04-2024 07:00,173.5,334.5,553,442.5
02-04-2024 08:00,173.5,334,516.5,385.5
02-04-2024 09:00,147,283,502.5,385.5
02-04-2024 10:00,72.5,169.5,429.5,60
02-04-2024 11:00,51,140,412.5,4
02-04-2024 12:00,24,66.5,413,0.5
02-04-2024 13:00,22.5,63.5,418,0
02-04-2024 14:00,20,55,420,0
02-04-2024 15:00,19,52.5,410.5,0
02-04-2024 16:00,19,52.5,413.5,0
02-04-2024 17:00,20,53.5,426,0
02-04-2024 18:00,21,59.5,436,29
02-04-2024 19:00,22,63.5,430,55.5
02-04-2024 20:00,33,90.5,456,164
02-04-2024 21:00,49,132,485,1220
02-04-2024 22:00,47.5,131.5,493.5,622.5
