CreatedDate,Pm2.5,Pm10
01-04-2024 01:00,27.5,79.5
01-04-2024 02:00,34.75,75.25
01-04-2024 03:00,35.5,71.75
01-04-2024 04:00,46.5,88
01-04-2024 05:00,92.5,128
01-04-2024 06:00,160,227
01-04-2024 07:00,127,233.5
01-04-2024 08:00,141.25,313.5
01-04-2024 09:00,146.25,395.25
01-04-2024 10:00,102.5,303
01-04-2024 11:00,61,182.5
01-04-2024 12:00,38.75,140.75
01-04-2024 13:00,31.25,128
01-04-2024 14:00,20.75,129.25
01-04-2024 15:00,23.5,140.75
01-04-2024 16:00,24.25,163.75
01-04-2024 17:00,22.75,154.75
01-04-2024 18:00,26.25,132
01-04-2024 19:00,29.25,133.25
01-04-2024 20:00,28.75,128.25
01-04-2024 21:00,38,156.5
01-04-2024 22:00,48.5,154.25
01-04-2024 23:00,45.75,145.5
02-04-2024 00:00,52,150
02-04-2024 01:00,60,146.75
02-04-2024 02:00,77.5,165
02-04-2024 03:00,81.25,158.25
02-04-2024 04:00,77.25,137
02-04-2024 05:00,109.25,181.5
02-04-2024 06:00,174.5,287.75
02-04-2024 07:00,290.75,475.25
02-04-2024 08:00,324.5,664
02-04-2024 09:00,296,703.25
02-04-2024 10:00,206.25,482.25
02-04-2024 11:00,67.25,224.75
02-04-2024 12:00,47.25,148.5
02-04-2024 13:00,29.25,151.75
02-04-2024 14:00,26,183.75
02-04-2024 15:00,22.75,153
02-04-2024 16:00,22.25,149.75
02-04-2024 17:00,23.25,154.75
02-04-2024 18:00,25.5,122
02-04-2024 19:00,29.5,132.75
02-04-2024 20:00,30,132.5
02-04-2024 21:00,42.5,151.5
02-04-2024 22:00,71.75,236.5
02-04-2024 23:00,94.5,377
03-04-2024 00:00,75.5,243.25
03-04-2024 01:00,68.75,171.25
03-04-2024 02:00,47.25,138.75
03-04-2024 03:00,54,150.25
03-04-2024 04:00,48,139.75
03-04-2024 05:00,57.25,160.5
03-04-2024 06:00,64.25,176
03-04-2024 07:00,96,285.5
03-04-2024 08:00,138,486.5
03-04-2024 09:00,140.75,477
03-04-2024 10:00,117.75,456
03-04-2024 11:00,99.75,397.5
03-04-2024 12:00,82.5,274
03-04-2024 13:00,70,244.5
03-04-2024 14:00,42.75,165
03-04-2024 15:00,31.75,131.75
03-04-2024 16:00,27,111.25
03-04-2024 17:00,28.25,121.25
03-04-2024 18:00,38,164
03-04-2024 19:00,33.5,167.25
03-04-2024 20:00,51.75,215.25
03-04-2024 21:00,71.5,285.25
03-04-2024 22:00,93.75,440.75
03-04-2024 23:00,108.75,539.5
04-04-2024 00:00,102.75,401.75
04-04-2024 01:00,105.25,384.25
04-04-2024 02:00,101.75,410.75
04-04-2024 03:00,76.25,254.75
04-04-2024 04:00,32.75,131.25
04-04-2024 05:00,19.75,95.25
04-04-2024 06:00,30.5,150.5
04-04-2024 07:00,52,242.75
04-04-2024 08:00,99.75,509.75
04-04-2024 09:00,108.5,522.75
04-04-2024 10:00,72.25,331
04-04-2024 11:00,40.25,211.25
04-04-2024 12:00,41.75,164.5
04-04-2024 13:00,41.25,146.75
04-04-2024 14:00,33,120.75
04-04-2024 15:00,32.5,138
04-04-2024 16:00,29.5,140
04-04-2024 17:00,26,118.5
04-04-2024 18:00,28,115.5
04-04-2024 19:00,31.75,127.75
04-04-2024 20:00,55,222.75
04-04-2024 21:00,76.25,392.5
04-04-2024 22:00,118.5,555.75
04-04-2024 23:00,131.5,689.5
05-04-2024 00:00,117.25,496.5
05-04-2024 01:00,96,226.25
05-04-2024 02:00,66,175.75
05-04-2024 03:00,61,179.25
05-04-2024 04:00,44.75,108
05-04-2024 05:00,42,109
05-04-2024 06:00,49.75,155.5
05-04-2024 07:00,82.5,254
05-04-2024 08:00,122,376.75
05-04-2024 09:00,73,294.5
05-04-2024 10:00,79.5,277.75
05-04-2024 11:00,91,278.25
05-04-2024 12:00,37.5,187
05-04-2024 13:00,30,231.5
05-04-2024 14:00,28.75,230.25
05-04-2024 15:00,25.5,167.75
05-04-2024 16:00,27.25,139.75
05-04-2024 17:00,27.25,136.25
05-04-2024 18:00,28.5,135
05-04-2024 19:00,41.25,171.25
05-04-2024 20:00,52.5,225.25
05-04-2024 21:00,64.25,239
05-04-2024 22:00,61.5,210
05-04-2024 23:00,68.5,214.75
06-04-2024 00:00,66.25,198.5
06-04-2024 01:00,63.75,200.75
06-04-2024 02:00,63,154.5
06-04-2024 03:00,58.25,137.5
06-04-2024 04:00,50,125
06-04-2024 05:00,86,182.75
06-04-2024 06:00,133,276.5
06-04-2024 07:00,120.75,303.5
06-04-2024 08:00,154.5,537
06-04-2024 09:00,167.25,500.25
06-04-2024 10:00,121.5,320.25
06-04-2024 11:00,66.5,202.5
06-04-2024 12:00,46,147.75
06-04-2024 13:00,33.75,132
06-04-2024 14:00,32.25,132
06-04-2024 15:00,30.75,138
06-04-2024 16:00,31.5,149.25
06-04-2024 17:00,28,134
06-04-2024 18:00,30,148.5
06-04-2024 19:00,28,147.5
06-04-2024 20:00,32.25,155.5
06-04-2024 21:00,36,175
06-04-2024 22:00,53.25,189.75
06-04-2024 23:00,42.75,142
07-04-2024 00:00,53.5,144.75
07-04-2024 01:00,83.5,178.5
07-04-2024 02:00,101,224.5
07-04-2024 03:00,114.5,288.5
07-04-2024 04:00,137.5,288.75
07-04-2024 05:00,196.75,358
07-04-2024 06:00,203.5,376
07-04-2024 07:00,219.25,378.75
07-04-2024 08:00,298.25,491.75
07-04-2024 09:00,254.25,471.25
07-04-2024 10:00,181.5,395
07-04-2024 11:00,113.75,247.75
07-04-2024 12:00,74.25,183.75
07-04-2024 13:00,34.25,124.5
07-04-2024 14:00,20.5,109
07-04-2024 15:00,20.5,97.5
07-04-2024 16:00,18,83.5
07-04-2024 17:00,22.5,89.75
07-04-2024 18:00,17.75,89.5
07-04-2024 19:00,21,124.25
07-04-2024 20:00,48.75,258.5
07-04-2024 21:00,103.75,473
07-04-2024 22:00,119.25,520.5
07-04-2024 23:00,93.5,354.75
08-04-2024 00:00,89.5,245.75
08-04-2024 01:00,97.75,255.25
08-04-2024 02:00,93.25,231
08-04-2024 03:00,97.75,229
08-04-2024 04:00,101.5,242
08-04-2024 05:00,137.25,273.75
08-04-2024 06:00,159,302.75
08-04-2024 07:00,188,428.25
08-04-2024 08:00,209.5,636
