CreatedDate,pm25_1201240075,pm10_1201240075,co2_1201240075,voc_1201240075,temperature_1201240075,humidity_1201240075
01-04-2024 01:00,28,79,435.5,173.5,25,49
01-04-2024 02:00,28,79.5,428.5,164.5,25,49
01-04-2024 03:00,28,78.5,421,153,25,49
01-04-2024 04:00,27.5,76,414.5,146.5,25,49
01-04-2024 05:00,27,74.5,410,150,25,49
01-04-2024 06:00,27,74,409,149.5,25,49
01-04-2024 07:00,26.5,72.5,410,148,25,49.5
01-04-2024 08:00,26,70.5,412.5,151,25,49.5
01-04-2024 09:00,22,59,429,101.5,25,47.5
01-04-2024 10:00,16,41,458,81,24,46.5
01-04-2024 11:00,13.5,35,521,109.5,24,45
01-04-2024 12:00,14,36,633,144.5,24,44
01-04-2024 13:00,14.5,37,762,185,24,44
01-04-2024 14:00,13,32.5,836.5,209.5,24,43
01-04-2024 15:00,11,27,872,228.5,24,43
01-04-2024 16:00,10,25,948,242.5,24,43
01-04-2024 17:00,10,26,944,245.5,24,42.5
01-04-2024 18:00,17.5,45.5,943,237.5,24,42
01-04-2024 19:00,19.5,53,954,289.5,24,43
01-04-2024 20:00,11.5,30.5,907.5,322,23.5,43
01-04-2024 21:00,13.5,34.5,884.5,374,24,43
01-04-2024 22:00,18,48.5,875,401.5,24,44
01-04-2024 23:00,21,56,841,410.5,24,44
02-04-2024 00:00,21.5,59.5,784,407,24,44
02-04-2024 01:00,23,63.5,736,399,24,44
02-04-2024 02:00,23.5,65,695,406.5,24,44
02-04-2024 03:00,26,70.5,658,386.5,24,44
02-04-2024 04:00,28.5,77.5,615.5,381,24,44
02-04-2024 05:00,31,87,580,365.5,24,44
02-04-2024 06:00,36,101.5,548,338.5,24,44
02-04-2024 07:00,44.5,125.5,521.5,305.5,24,44
02-04-2024 08:00,53.5,148,503.5,263.5,24,44
02-04-2024 09:00,31.5,88.5,501,179,24,43
02-04-2024 10:00,22,60,504,164,23.5,42
02-04-2024 11:00,18,47.5,558.5,164,24,42
02-04-2024 12:00,15,38,674.5,178,24,44.5
02-04-2024 13:00,14.5,38.5,783,182,24,45
02-04-2024 14:00,15,39,863.5,204.5,24,45
02-04-2024 15:00,12,30,917,209,24,45
02-04-2024 16:00,11,27.5,962,213,24,45
02-04-2024 17:00,11.5,28,967.5,187.5,24,45
02-04-2024 18:00,15,40,978.5,193.5,24,45
02-04-2024 19:00,12.5,32,984.5,223,24,45
02-04-2024 20:00,8.5,21,978.5,253.5,24,44.5
02-04-2024 21:00,9.5,22.5,966.5,331.5,24,44.5
02-04-2024 22:00,13.5,35,945,320,24,44
02-04-2024 23:00,21.5,58.5,940.5,331,24,45
03-04-2024 00:00,28.5,78.5,893,324.5,24,45
03-04-2024 01:00,33.5,94,848,323,24,45
03-04-2024 02:00,36,101,785.5,300.5,24,45
03-04-2024 03:00,36,103,714.5,264,24,44.5
03-04-2024 04:00,36,100.5,665,254.5,24,45
03-04-2024 05:00,34.5,98,619,259.5,24,44
03-04-2024 06:00,33.5,94,586,273,24,44
03-04-2024 07:00,32,90.5,557.5,280,24,44
03-04-2024 08:00,31.5,89,546.5,287,24,44
03-04-2024 09:00,26,71.5,560.5,245.5,24,43.5
03-04-2024 10:00,20,54.5,575,252.5,23.5,43
03-04-2024 11:00,17.5,46.5,650.5,245.5,23,43
03-04-2024 12:00,16.5,43,741.5,212,23,43.5
03-04-2024 13:00,13,33.5,792,158,24,44
03-04-2024 14:00,9.5,22,808.5,134.5,24,44
03-04-2024 15:00,7.5,17.5,833,133.5,24,43
03-04-2024 16:00,5.5,13,868,128,24,42.5
03-04-2024 17:00,6,14,883,138.5,24,42
03-04-2024 18:00,7.5,17.5,899.5,159,24,42
03-04-2024 19:00,8,19,864,149,23,42
03-04-2024 20:00,7,16,794.5,165,23,42
03-04-2024 21:00,9,21.5,789.5,230,23.5,42
03-04-2024 22:00,18,49,760.5,237,24,42.5
03-04-2024 23:00,24.5,67,700,233,24,42.5
04-04-2024 00:00,29.5,83,686,278.5,24,43
04-04-2024 01:00,38,105,674,360,24,43
04-04-2024 02:00,41,114,664,415.5,24,43
04-04-2024 03:00,41,115,642.5,428,24,43
04-04-2024 04:00,40.5,112,612,415.5,24,43
04-04-2024 05:00,37,103.5,582.5,392.5,24,43
04-04-2024 06:00,33.5,94,560,384.5,24,43
04-04-2024 07:00,30,85,546,391,24,43
04-04-2024 08:00,28,78,532,370.5,24,43
04-04-2024 09:00,23.5,64,513.5,261.5,24,43
04-04-2024 10:00,18.5,49,537,264,23.5,42
04-04-2024 11:00,14.5,37.5,578.5,213.5,23,42
04-04-2024 12:00,13,32,683,169.5,23,42
04-04-2024 13:00,10,25,779.5,153.5,23,42
04-04-2024 14:00,13,33,805.5,135,23,41.5
04-04-2024 15:00,16,43,827.5,130.5,23,41.5
04-04-2024 16:00,16,42,900.5,128.5,23,42
04-04-2024 17:00,16.5,44,917.5,134,23,42
04-04-2024 18:00,15,39.5,873.5,148,23,41.5
04-04-2024 19:00,15.5,41.5,872.5,176,23,42
