CreatedDate,pm25_Hines Office: Workstation-1,pm10_Hines Office: Workstation-1,co2_Hines Office: Workstation-1,voc_Hines Office: Workstation-1,temperature_Hines Office: Workstation-1,humidity_Hines Office: Workstation-1
30-04-2024 01:00,14,36,759.5,296.5,24,43
30-04-2024 02:00,14,36,750,325,24,43
30-04-2024 03:00,15,39,730.5,351.5,24,43
30-04-2024 04:00,19,49,698.5,337.5,24,43
30-04-2024 05:00,21.5,58,660,318,24,43
30-04-2024 06:00,24,65,630.5,316.5,24,43
30-04-2024 07:00,26.5,72,606.5,314.5,24,43
30-04-2024 08:00,28,79,588,283.5,24,43
30-04-2024 09:00,24.5,66.5,575.5,273.5,24,42.5
30-04-2024 10:00,20,53,584.5,241,23.5,41.5
30-04-2024 11:00,14,35.5,677.5,164,23,41
30-04-2024 12:00,10,24,820.5,153,24,41
30-04-2024 13:00,7.5,18,921.5,154,24,42
30-04-2024 14:00,9,21.5,970.5,152,23.5,41
30-04-2024 15:00,12,30.5,1063,172,24,41
30-04-2024 16:00,13.5,34,1174,204.5,24,41
30-04-2024 17:00,9,21,1221,201.5,24,41
30-04-2024 18:00,7,15.5,1229,216,24,41
30-04-2024 19:00,8,19.5,1176.5,211.5,23,40
30-04-2024 20:00,6.5,15.5,1074.5,205,23,40.5
30-04-2024 21:00,9,20.5,1012.5,215,23,41
30-04-2024 22:00,14,37.5,974,226,23,41
30-04-2024 23:00,16.5,43,914,218,23,41
01-05-2024 00:00,20,54,838.5,210.5,23,41
01-05-2024 01:00,22,60,783.5,200.5,23,41
01-05-2024 02:00,21.5,60,761,221.5,24,41
01-05-2024 03:00,21,58,766,255.5,24,41
01-05-2024 04:00,24.5,66,765,281,24,41
01-05-2024 05:00,31.5,87,740,265,24,41
01-05-2024 06:00,34.5,97.5,690.5,224.5,24,41
01-05-2024 07:00,34,96,643.5,186,24,41
01-05-2024 08:00,32,88.5,611,171.5,24,41
01-05-2024 09:00,22.5,61,582.5,161,23.5,41
01-05-2024 10:00,17,44.5,569.5,108,23,41
01-05-2024 11:00,11.5,30,650,109,23,41
01-05-2024 12:00,8,18,748,133.5,23,41
01-05-2024 13:00,5,11.5,825,121,23,40
01-05-2024 14:00,8,18,907,141.5,24,41
01-05-2024 15:00,10.5,26.5,1033,190,23,41
01-05-2024 16:00,9.5,23,1134,223.5,23.5,41.5
01-05-2024 17:00,8,19.5,1203,264.5,23,41
01-05-2024 18:00,7.5,17.5,1189.5,270,23,41
01-05-2024 19:00,7,16,1169.5,289,23,41
01-05-2024 20:00,5,11,1131,302,23.5,41
01-05-2024 21:00,6,15,1111.5,327.5,24,41
01-05-2024 22:00,8,19.5,1141.5,421.5,24,42
01-05-2024 23:00,8.5,20.5,1128.5,474.5,24,42
02-05-2024 00:00,10.5,26,1082.5,488.5,24,42
02-05-2024 01:00,13,33,1048.5,481,24,42
02-05-2024 02:00,16,41.5,986,446,24,42
02-05-2024 03:00,20,53,910,407,24,42
02-05-2024 04:00,22,61,843.5,362,24,41
02-05-2024 05:00,26,70,778,315,24,41
02-05-2024 06:00,29,81.5,723,281,24,41
02-05-2024 07:00,33.5,94,678.5,255,24,41
