CreatedDate,pm25_WorkStation1,pm10_WorkStation1,co2_WorkStation1,voc_WorkStation1
22-04-2024 00:00,23,64,400,228
22-04-2024 00:15,23,64,405,235
22-04-2024 00:30,24,65,402,233
22-04-2024 00:45,24,65,401,232
22-04-2024 01:00,24,65,399,233
22-04-2024 01:15,24,66,402,216
22-04-2024 01:30,25,67,401,217
22-04-2024 01:45,25,68,404,219
22-04-2024 02:00,25,69,407,229
22-04-2024 02:15,25,69,405,239
22-04-2024 02:30,25,69,411,248
22-04-2024 02:45,25,69,418,263
22-04-2024 03:00,25,69,421,282
22-04-2024 03:15,25,68,430,294
22-04-2024 03:30,25,69,432,308
22-04-2024 03:45,25,67,436,318
22-04-2024 04:00,25,68,441,324
22-04-2024 04:15,24,66,442,332
22-04-2024 04:30,24,65,446,335
22-04-2024 04:45,23,64,444,336
22-04-2024 05:00,22,62,447,337
22-04-2024 05:15,22,61,451,335
22-04-2024 05:30,21,60,445,335
22-04-2024 05:45,21,59,447,335
22-04-2024 06:00,21,57,446,340
22-04-2024 06:15,21,57,454,334
22-04-2024 06:30,21,57,452,332
22-04-2024 06:45,20,53,444,333
22-04-2024 07:00,19,52,448,340
22-04-2024 07:15,19,50,447,347
22-04-2024 07:30,18,49,447,355
22-04-2024 07:45,18,48,451,391
22-04-2024 08:00,18,47,451,360
22-04-2024 08:15,14,36,464,370
22-04-2024 08:30,12,30,462,336
22-04-2024 08:45,10,25,462,315
22-04-2024 09:00,10,24,466,303
22-04-2024 09:15,9,22,470,302
22-04-2024 09:30,7,17,469,296
22-04-2024 09:45,7,17,484,299
22-04-2024 10:00,8,19,501,300
22-04-2024 10:15,7,18,515,304
22-04-2024 10:30,7,17,543,309
22-04-2024 10:45,7,16,562,312
22-04-2024 11:00,6,15,601,316
22-04-2024 11:15,5,12,642,317
22-04-2024 11:30,5,12,688,322
22-04-2024 11:45,5,12,717,329
22-04-2024 12:00,5,11,744,325
22-04-2024 12:15,5,11,774,327
22-04-2024 12:30,5,11,810,327
22-04-2024 12:45,5,11,850,325
22-04-2024 13:00,5,10,887,325
22-04-2024 13:15,5,11,920,325
22-04-2024 13:30,5,11,930,321
22-04-2024 13:45,5,11,937,325
22-04-2024 14:00,6,13,941,309
22-04-2024 14:15,6,15,934,299
22-04-2024 14:30,5,12,942,288
22-04-2024 14:45,5,12,938,277
22-04-2024 15:00,5,11,939,251
22-04-2024 15:15,5,10,946,245
22-04-2024 15:30,5,11,957,240
22-04-2024 15:45,4,10,964,243
22-04-2024 16:00,3,6,977,248
22-04-2024 16:15,4,7,987,245
22-04-2024 16:30,4,8,978,238
22-04-2024 16:45,3,7,986,236
22-04-2024 17:00,3,6,988,295
22-04-2024 17:15,3,5,990,343
22-04-2024 17:30,3,5,979,253
22-04-2024 17:45,3,5,979,238
22-04-2024 18:00,3,6,972,236
22-04-2024 18:15,3,7,973,226
22-04-2024 18:30,3,5,969,230
22-04-2024 18:45,3,5,973,260
22-04-2024 19:00,3,5,970,260
22-04-2024 19:15,3,6,979,301
22-04-2024 19:30,3,5,972,275
22-04-2024 19:45,3,5,961,261
22-04-2024 20:00,3,7,961,260
22-04-2024 20:15,3,6,957,278
22-04-2024 20:30,3,6,952,300
22-04-2024 20:45,4,9,950,295
22-04-2024 21:00,6,14,914,296
22-04-2024 21:15,10,25,879,269
22-04-2024 21:30,11,27,850,289
22-04-2024 21:45,13,34,828,278
22-04-2024 22:00,15,40,801,265
22-04-2024 22:15,15,39,779,261
22-04-2024 22:30,17,44,755,254
22-04-2024 22:45,18,47,729,241
22-04-2024 23:00,18,47,710,237
22-04-2024 23:15,18,47,693,229
22-04-2024 23:30,18,49,677,222
22-04-2024 23:45,18,48,670,225
23-04-2024 00:00,19,50,650,212
23-04-2024 00:15,19,50,640,211
23-04-2024 00:30,19,52,629,203
23-04-2024 00:45,20,52,617,200
23-04-2024 01:00,21,56,602,194
23-04-2024 01:15,22,60,596,202
23-04-2024 01:30,23,63,583,190
23-04-2024 01:45,23,64,577,190
23-04-2024 02:00,23,64,574,187
23-04-2024 02:15,24,67,564,148
23-04-2024 02:30,25,70,559,135
23-04-2024 02:45,26,72,558,137
23-04-2024 03:00,27,75,553,142
23-04-2024 03:15,28,77,547,144
23-04-2024 03:30,28,76,547,149
23-04-2024 03:45,28,78,542,153
23-04-2024 04:00,27,76,547,188
23-04-2024 04:15,27,74,550,203
23-04-2024 04:30,27,73,553,227
23-04-2024 04:45,26,71,553,239
23-04-2024 05:00,25,70,555,250
23-04-2024 05:15,25,69,554,257
23-04-2024 05:30,25,68,554,263
23-04-2024 05:45,25,67,554,269
23-04-2024 06:00,24,66,552,274
23-04-2024 06:15,24,65,558,283
23-04-2024 06:30,23,65,553,284
23-04-2024 06:45,23,63,550,280
23-04-2024 07:00,22,62,545,275
23-04-2024 07:15,22,62,543,268
23-04-2024 07:30,22,61,541,270
23-04-2024 07:45,22,61,537,272
23-04-2024 08:00,22,60,538,263
23-04-2024 08:15,20,54,576,346
23-04-2024 08:30,17,45,594,368
23-04-2024 08:45,15,38,587,356
23-04-2024 09:00,14,36,588,347
23-04-2024 09:15,13,35,587,342
23-04-2024 09:30,12,31,594,333
23-04-2024 09:45,11,29,599,326
23-04-2024 10:00,10,26,613,321
23-04-2024 10:15,10,25,629,315
23-04-2024 10:30,10,25,663,309
23-04-2024 10:45,11,29,684,303
23-04-2024 11:00,11,27,714,305
23-04-2024 11:15,10,26,755,322
23-04-2024 11:30,11,28,800,312
23-04-2024 11:45,12,31,835,308
23-04-2024 12:00,11,29,853,292
23-04-2024 12:15,11,27,880,277
23-04-2024 12:30,10,26,891,258
23-04-2024 12:45,10,25,932,250
23-04-2024 13:00,10,25,936,229
23-04-2024 13:15,10,24,934,217
23-04-2024 13:30,10,26,942,247
23-04-2024 13:45,11,28,939,194
23-04-2024 14:00,12,32,953,183
23-04-2024 14:15,13,33,975,189
23-04-2024 14:30,13,34,991,187
23-04-2024 14:45,12,33,993,182
23-04-2024 15:00,12,32,1023,188
23-04-2024 15:15,11,28,1033,183
23-04-2024 15:30,10,25,1036,176
23-04-2024 15:45,11,27,1045,185
23-04-2024 16:00,15,45,1058,190
23-04-2024 16:15,13,36,1047,202
23-04-2024 16:30,11,29,1044,197
23-04-2024 16:45,10,27,1057,178
23-04-2024 17:00,10,26,1066,178
23-04-2024 17:15,9,23,1081,185
23-04-2024 17:30,9,22,1074,188
23-04-2024 17:45,9,23,1062,166
23-04-2024 18:00,10,25,1034,151
23-04-2024 18:15,9,23,1014,146
23-04-2024 18:30,9,24,982,147
23-04-2024 18:45,9,22,972,140
23-04-2024 19:00,7,18,949,129
23-04-2024 19:15,7,16,935,131
23-04-2024 19:30,8,18,927,139
23-04-2024 19:45,10,24,929,151
23-04-2024 20:00,13,34,939,177
23-04-2024 20:15,14,36,927,168
23-04-2024 20:30,15,38,946,193
23-04-2024 20:45,15,40,957,215
23-04-2024 21:00,17,44,955,228
23-04-2024 21:15,16,43,954,261
23-04-2024 21:30,16,43,955,286
23-04-2024 21:45,17,46,944,315
23-04-2024 22:00,18,47,938,308
23-04-2024 22:15,17,46,935,328
23-04-2024 22:30,17,46,933,366
23-04-2024 22:45,17,46,919,350
23-04-2024 23:00,17,45,912,462
23-04-2024 23:15,18,46,904,405
23-04-2024 23:30,18,48,894,397
23-04-2024 23:45,18,48,885,401
24-04-2024 00:00,18,49,882,395
24-04-2024 00:15,18,48,878,395
24-04-2024 00:30,19,49,871,403
24-04-2024 00:45,19,49,870,402
24-04-2024 01:00,19,50,861,414
24-04-2024 01:15,19,51,861,408
24-04-2024 01:30,19,52,862,426
24-04-2024 01:45,19,51,858,439
24-04-2024 02:00,19,51,851,446
24-04-2024 02:15,19,49,849,446
24-04-2024 02:30,19,50,848,451
24-04-2024 02:45,19,51,845,448
24-04-2024 03:00,19,49,840,448
24-04-2024 03:15,19,51,834,449
24-04-2024 03:30,19,51,828,337
24-04-2024 03:45,20,53,819,346
24-04-2024 04:00,20,54,816,385
24-04-2024 04:15,20,53,807,412
24-04-2024 04:30,19,51,802,417
24-04-2024 04:45,20,53,799,404
24-04-2024 05:00,20,54,792,404
24-04-2024 05:15,20,55,781,395
24-04-2024 05:30,20,54,775,389
24-04-2024 05:45,21,55,771,406
24-04-2024 06:00,21,56,768,414
24-04-2024 06:15,21,56,762,407
24-04-2024 06:30,21,56,758,410
24-04-2024 06:45,21,57,749,399
24-04-2024 07:00,21,58,740,398
24-04-2024 07:15,21,58,734,379
24-04-2024 07:30,22,60,725,360
24-04-2024 07:45,22,61,717,343
24-04-2024 08:00,22,59,733,320
24-04-2024 08:15,21,58,716,290
24-04-2024 08:30,21,57,683,267
24-04-2024 08:45,20,53,667,249
24-04-2024 09:00,18,49,656,240
24-04-2024 09:15,16,43,652,231
24-04-2024 09:30,15,39,649,220
24-04-2024 09:45,13,36,645,208
24-04-2024 10:00,13,33,650,197
24-04-2024 10:15,12,32,664,191
24-04-2024 10:30,11,28,677,184
24-04-2024 10:45,12,31,698,179
24-04-2024 11:00,11,28,711,171
24-04-2024 11:15,11,29,731,170
24-04-2024 11:30,11,27,755,173
24-04-2024 11:45,11,28,794,167
24-04-2024 12:00,10,26,832,167
24-04-2024 12:15,10,25,861,164
24-04-2024 12:30,9,24,873,162
24-04-2024 12:45,9,23,893,169
24-04-2024 13:00,9,22,904,157
24-04-2024 13:15,9,22,929,150
24-04-2024 13:30,9,21,943,146
24-04-2024 13:45,9,24,942,136
24-04-2024 14:00,10,25,965,133
24-04-2024 14:15,9,23,976,131
24-04-2024 14:30,9,22,1004,131
24-04-2024 14:45,8,21,1022,130
24-04-2024 15:00,7,18,1005,119
24-04-2024 15:15,6,14,1019,125
24-04-2024 15:30,5,12,1028,127
24-04-2024 15:45,5,13,1028,116
24-04-2024 16:00,5,11,1027,124
24-04-2024 16:15,5,10,1039,131
24-04-2024 16:30,5,10,1053,134
24-04-2024 16:45,4,10,1062,120
24-04-2024 17:00,4,8,1070,109
24-04-2024 17:15,3,6,1066,130
24-04-2024 17:30,4,7,1061,109
24-04-2024 17:45,4,8,1063,141
24-04-2024 18:00,4,7,1053,135
24-04-2024 18:15,3,7,1033,131
24-04-2024 18:30,3,5,1025,117
24-04-2024 18:45,3,6,1034,114
24-04-2024 19:00,3,5,1025,115
24-04-2024 19:15,3,5,1015,140
24-04-2024 19:30,3,5,989,133
24-04-2024 19:45,3,7,966,118
24-04-2024 20:00,3,6,942,107
24-04-2024 20:15,3,5,926,115
24-04-2024 20:30,4,9,924,138
24-04-2024 20:45,5,12,904,132
24-04-2024 21:00,7,16,891,125
24-04-2024 21:15,10,24,859,117
24-04-2024 21:30,11,29,826,113
24-04-2024 21:45,13,34,805,117
24-04-2024 22:00,14,36,793,133
24-04-2024 22:15,15,39,769,133
24-04-2024 22:30,17,45,748,127
24-04-2024 22:45,18,48,726,111
24-04-2024 23:00,20,53,705,103
24-04-2024 23:15,21,57,688,97
24-04-2024 23:30,21,59,670,94
24-04-2024 23:45,22,62,660,90
25-04-2024 00:00,23,63,638,86
25-04-2024 00:15,24,66,628,83
25-04-2024 00:30,25,67,621,82
25-04-2024 00:45,25,69,608,80
25-04-2024 01:00,25,70,601,80
25-04-2024 01:15,26,71,593,81
25-04-2024 01:30,26,72,589,80
25-04-2024 01:45,26,72,578,82
25-04-2024 02:00,27,73,571,83
25-04-2024 02:15,26,72,569,86
25-04-2024 02:30,27,74,562,84
25-04-2024 02:45,27,74,558,88
25-04-2024 03:00,28,77,554,90
25-04-2024 03:15,28,78,549,92
25-04-2024 03:30,28,80,548,99
25-04-2024 03:45,28,81,545,102
25-04-2024 04:00,29,83,540,107
25-04-2024 04:15,30,84,538,110
25-04-2024 04:30,30,85,539,117
25-04-2024 04:45,31,87,536,120
25-04-2024 05:00,31,88,534,126
25-04-2024 05:15,32,89,536,138
25-04-2024 05:30,33,92,536,140
25-04-2024 05:45,32,91,541,152
25-04-2024 06:00,32,91,542,163
25-04-2024 06:15,33,92,545,165
25-04-2024 06:30,33,92,550,183
25-04-2024 06:45,33,93,549,179
25-04-2024 07:00,33,93,554,195
25-04-2024 07:15,33,92,565,207
25-04-2024 07:30,32,91,559,211
25-04-2024 07:45,33,92,567,213
25-04-2024 08:00,32,91,575,214
25-04-2024 08:15,29,83,653,306
25-04-2024 08:30,28,79,673,331
25-04-2024 08:45,27,73,664,320
25-04-2024 09:00,26,71,656,313
25-04-2024 09:15,26,72,652,308
25-04-2024 09:30,27,74,645,296
25-04-2024 09:45,27,74,644,289
25-04-2024 10:00,26,72,645,276
25-04-2024 10:15,25,68,657,272
25-04-2024 10:30,23,64,665,263
25-04-2024 10:45,22,61,683,256
25-04-2024 11:00,21,58,713,254
25-04-2024 11:15,21,56,725,238
