CreatedDate,pm25_WorkStation1,pm10_WorkStation1,co2_WorkStation1,voc_WorkStation1
21-04-2024 00:15,16,41,431,192
21-04-2024 00:30,16,42,429,190
21-04-2024 00:45,16,43,427,193
21-04-2024 01:00,16,42,430,202
21-04-2024 01:15,16,42,429,202
21-04-2024 01:30,16,43,431,209
21-04-2024 01:45,17,44,429,216
21-04-2024 02:00,17,44,434,225
21-04-2024 02:15,17,46,435,233
21-04-2024 02:30,18,48,425,246
21-04-2024 02:45,18,48,417,256
21-04-2024 03:00,18,47,423,272
21-04-2024 03:15,20,53,423,282
21-04-2024 03:30,20,54,431,294
21-04-2024 03:45,21,55,434,308
21-04-2024 04:00,21,55,435,316
21-04-2024 04:15,21,56,438,327
21-04-2024 04:30,21,56,438,336
21-04-2024 04:45,21,56,441,347
21-04-2024 05:00,21,57,446,358
21-04-2024 05:15,21,56,443,374
21-04-2024 05:30,21,57,445,384
21-04-2024 05:45,21,57,445,393
21-04-2024 06:00,21,56,444,401
21-04-2024 06:15,21,57,445,403
21-04-2024 06:30,21,57,443,416
21-04-2024 06:45,21,57,447,424
21-04-2024 07:00,21,57,446,428
21-04-2024 07:15,21,58,450,433
21-04-2024 07:30,21,59,451,439
21-04-2024 07:45,21,60,454,441
21-04-2024 08:00,22,62,453,449
21-04-2024 08:15,23,62,454,447
21-04-2024 08:30,22,60,453,425
21-04-2024 08:45,23,63,462,444
21-04-2024 09:00,21,59,462,458
21-04-2024 09:15,22,61,461,459
21-04-2024 09:30,23,63,457,454
21-04-2024 09:45,23,64,456,451
21-04-2024 10:00,25,69,458,437
21-04-2024 10:15,25,68,454,459
21-04-2024 10:30,26,71,449,450
21-04-2024 10:45,32,90,425,333
21-04-2024 11:00,30,87,416,337
21-04-2024 11:15,29,83,418,361
21-04-2024 11:30,28,81,415,358
21-04-2024 11:45,28,78,413,349
21-04-2024 12:00,27,75,411,359
21-04-2024 12:15,26,72,411,353
21-04-2024 12:30,25,69,406,349
21-04-2024 12:45,25,68,404,318
21-04-2024 13:00,24,67,396,311
21-04-2024 13:15,23,64,393,309
21-04-2024 13:30,22,62,389,298
21-04-2024 13:45,21,60,384,284
21-04-2024 14:00,21,57,386,294
21-04-2024 14:15,21,55,384,277
21-04-2024 14:30,20,55,387,267
21-04-2024 14:45,20,53,396,273
21-04-2024 15:00,18,48,393,275
21-04-2024 15:15,18,48,391,272
21-04-2024 15:30,18,46,390,253
21-04-2024 15:45,17,46,387,259
21-04-2024 16:00,17,45,385,254
21-04-2024 16:15,16,43,381,229
21-04-2024 16:30,16,43,385,231
21-04-2024 16:45,16,41,381,217
21-04-2024 17:00,16,42,383,216
21-04-2024 17:15,16,43,384,204
21-04-2024 17:30,16,43,402,225
21-04-2024 17:45,16,43,399,194
21-04-2024 18:00,16,42,398,186
21-04-2024 18:15,16,41,388,185
21-04-2024 18:30,16,42,387,184
21-04-2024 18:45,16,41,386,193
21-04-2024 19:00,16,42,384,183
21-04-2024 19:15,16,41,402,172
21-04-2024 19:30,16,42,399,174
21-04-2024 19:45,15,40,395,171
21-04-2024 20:00,16,41,394,174
21-04-2024 20:15,16,43,398,179
21-04-2024 20:30,17,45,396,173
21-04-2024 20:45,18,47,396,170
21-04-2024 21:00,18,48,395,171
21-04-2024 21:15,19,50,395,181
21-04-2024 21:30,19,51,394,183
21-04-2024 21:45,21,55,392,178
21-04-2024 22:00,20,55,394,186
21-04-2024 22:15,21,57,396,193
21-04-2024 22:30,21,58,394,195
21-04-2024 22:45,21,58,398,205
21-04-2024 23:00,23,62,397,195
21-04-2024 23:15,22,61,402,226
21-04-2024 23:30,22,63,399,218
21-04-2024 23:45,23,64,400,222
27-04-2024 00:00,17,46,656,172
27-04-2024 00:15,18,46,635,160
27-04-2024 00:30,18,47,621,157
27-04-2024 00:45,18,47,607,150
27-04-2024 01:00,18,48,592,138
27-04-2024 01:15,18,49,578,130
27-04-2024 01:30,19,50,566,124
27-04-2024 01:45,19,50,558,120
27-04-2024 02:00,19,51,546,117
27-04-2024 02:15,20,52,539,117
27-04-2024 02:30,20,52,529,116
27-04-2024 02:45,20,53,524,116
27-04-2024 03:00,20,52,519,118
27-04-2024 03:15,21,56,513,134
27-04-2024 03:30,21,55,507,133
27-04-2024 03:45,21,57,501,134
27-04-2024 04:00,21,58,498,134
27-04-2024 04:15,21,57,492,132
27-04-2024 04:30,21,58,490,131
27-04-2024 04:45,21,58,489,132
27-04-2024 05:00,21,58,484,134
27-04-2024 05:15,21,58,484,136
27-04-2024 05:30,21,59,481,138
27-04-2024 05:45,21,59,480,150
27-04-2024 06:00,22,59,481,156
27-04-2024 06:15,22,60,480,162
27-04-2024 06:30,22,60,477,166
27-04-2024 06:45,22,61,480,162
27-04-2024 07:00,22,62,476,162
27-04-2024 07:15,22,62,476,162
27-04-2024 07:30,23,62,474,165
27-04-2024 07:45,22,62,475,166
27-04-2024 08:00,22,61,480,176
27-04-2024 08:15,22,61,480,182
27-04-2024 08:30,22,61,481,183
27-04-2024 08:45,21,60,486,194
27-04-2024 09:00,22,61,486,198
27-04-2024 09:15,22,62,488,202
27-04-2024 09:30,23,63,484,208
27-04-2024 09:45,23,65,488,229
27-04-2024 10:00,23,64,489,240
27-04-2024 10:15,21,57,525,362
27-04-2024 10:30,20,53,532,359
