CreatedDate,pm25_Lakshmi K: Living room,pm10_Lakshmi K: Living room,aqi_Lakshmi K: Living room
01-05-2024 00:00,55,151,134
01-05-2024 00:15,59,156,137
01-05-2024 00:30,62,159,139
01-05-2024 00:45,60,158,139
01-05-2024 01:00,55,152,135
01-05-2024 01:15,52,144,129
01-05-2024 01:30,51,141,127
01-05-2024 01:45,69,163,142
01-05-2024 02:00,79,171,163
01-05-2024 02:15,78,171,160
01-05-2024 02:30,76,168,153
01-05-2024 02:45,75,168,150
01-05-2024 03:00,75,167,150
01-05-2024 03:15,64,160,140
01-05-2024 03:30,48,135,123
01-05-2024 03:45,42,119,113
01-05-2024 04:00,42,118,112
01-05-2024 04:15,45,130,120
01-05-2024 04:30,46,132,121
01-05-2024 04:45,46,132,121
01-05-2024 05:00,46,132,121
01-05-2024 05:15,59,155,137
01-05-2024 05:30,67,163,142
01-05-2024 05:45,61,160,140
01-05-2024 06:00,54,152,135
01-05-2024 06:15,48,136,124
01-05-2024 06:30,42,121,114
01-05-2024 06:45,41,118,112
01-05-2024 07:00,42,121,114
01-05-2024 07:15,41,119,113
01-05-2024 07:30,39,112,108
01-05-2024 07:45,37,107,105
01-05-2024 08:00,41,115,110
01-05-2024 08:15,41,114,109
01-05-2024 08:30,39,108,105
01-05-2024 08:45,39,110,107
01-05-2024 09:00,41,116,111
01-05-2024 09:15,38,110,107
01-05-2024 09:30,38,106,104
01-05-2024 09:45,35,98,98
01-05-2024 10:00,32,91,91
01-05-2024 10:15,29,84,84
01-05-2024 10:30,27,76,76
01-05-2024 10:45,24,69,69
01-05-2024 11:00,22,63,63
01-05-2024 11:15,22,61,61
01-05-2024 11:30,21,58,58
01-05-2024 11:45,21,58,58
01-05-2024 12:00,16,47,47
01-05-2024 12:15,13,39,39
01-05-2024 12:30,16,49,49
01-05-2024 12:45,17,54,54
01-05-2024 13:00,16,52,52
01-05-2024 13:15,20,56,56
01-05-2024 13:30,17,49,49
01-05-2024 13:45,19,55,55
01-05-2024 14:00,20,57,57
01-05-2024 14:15,21,59,59
01-05-2024 14:30,20,58,58
01-05-2024 14:45,22,62,62
01-05-2024 15:00,24,66,66
01-05-2024 15:15,25,69,69
01-05-2024 15:30,25,67,67
01-05-2024 15:45,22,63,63
01-05-2024 16:00,21,61,61
01-05-2024 16:15,20,59,59
01-05-2024 16:30,21,61,61
01-05-2024 16:45,22,60,60
01-05-2024 17:00,21,59,59
01-05-2024 17:15,21,59,59
