CreatedDate,pm25_Surender: Living room,pm10_Surender: Living room,co2_Surender: Living room,voc_Surender: Living room,temperature_Surender: Living room,humidity_Surender: Living room,pm25_Hines Office: Workstation-1,pm10_Hines Office: Workstation-1,co2_Hines Office: Workstation-1,voc_Hines Office: Workstation-1,temperature_Hines Office: Workstation-1,humidity_Hines Office: Workstation-1,pm25_ST Mary School: Classroom 12C,pm10_ST Marys School: Classroom 12C,co2_ST Marys School: Classroom 12C,voc_ST Marys School: Classroom 12C,temperature_ST Marys School: Classroom 12C,humidity_ST Marys School: Classroom 12C
27-05-2024 00:15,85,286,473,480,35,41,66,245,507,268,27,49,67,227,444,298,36,30
27-05-2024 00:30,88,294,467,433,35,41,76,285,502,248,27,48,67,227,447,287,36,30
27-05-2024 00:45,88,293,459,356,35,40,63,227,476,230,27,47,68,232,448,286,36,30
27-05-2024 01:00,89,295,451,359,35,40,60,203,463,220,27,47,70,241,452,282,36,31
27-05-2024 01:15,95,309,448,408,35,40,57,187,453,218,27,47,70,243,455,280,36,31
27-05-2024 01:30,96,312,445,420,35,39,56,182,448,216,27,47,70,241,456,283,36,31
27-05-2024 01:45,98,314,442,385,35,40,56,178,439,216,27,47,68,235,457,286,36,31
27-05-2024 02:00,96,311,441,332,35,40,55,177,434,215,27,47,68,230,462,297,36,31
27-05-2024 02:15,92,305,437,304,35,40,55,174,429,217,27,47,70,240,463,297,36,31
27-05-2024 02:30,90,300,431,261,35,39,54,172,426,221,27,47,74,258,460,270,36,31
27-05-2024 02:45,88,292,431,262,35,39,54,171,424,220,27,47,74,255,454,235,36,31
27-05-2024 03:00,84,283,432,272,35,40,53,168,419,224,27,46,73,254,448,198,36,31
27-05-2024 03:15,84,284,432,257,35,40,54,168,418,224,27,46,72,246,447,175,36,31
27-05-2024 03:30,84,282,429,244,35,39,53,167,416,227,27,46,69,236,442,165,36,32
27-05-2024 03:45,81,270,429,252,34,40,54,169,412,228,27,46,68,230,441,160,36,32
27-05-2024 04:00,79,260,429,250,34,40,54,172,411,228,27,46,68,231,441,157,36,32
27-05-2024 04:15,78,255,431,355,34,40,55,173,408,228,27,46,67,225,442,146,36,32
27-05-2024 04:30,82,279,437,300,34,40,55,177,406,225,27,46,67,225,441,145,36,32
27-05-2024 04:45,85,287,431,266,34,40,55,177,405,225,27,46,67,224,445,155,36,32
27-05-2024 05:00,85,287,430,250,34,40,55,177,404,223,27,46,69,233,446,177,36,33
27-05-2024 05:15,87,291,428,243,34,39,56,179,404,224,27,46,72,248,452,203,36,33
27-05-2024 05:30,84,285,436,357,34,40,56,178,402,223,27,46,76,265,457,234,36,33
27-05-2024 05:45,79,260,435,311,34,41,56,179,402,224,27,46,81,282,457,244,36,33
27-05-2024 06:00,75,239,475,421,34,40,56,182,400,221,27,46,86,297,458,246,36,32
27-05-2024 06:15,92,295,502,383,34,39,57,184,400,221,27,46,90,307,460,264,36,32
27-05-2024 06:30,97,312,471,419,34,39,57,185,398,117,27,46,94,316,461,267,35,32
27-05-2024 06:45,83,281,490,530,34,40,56,182,396,117,27,46,97,324,461,260,35,32
27-05-2024 07:00,87,291,480,440,34,40,57,183,398,127,27,46,102,335,456,263,35,32
27-05-2024 07:15,85,286,452,278,34,40,51,160,416,173,27,44,109,347,455,267,36,32
27-05-2024 07:30,96,308,457,283,34,41,48,143,426,174,27,42,110,349,451,271,35,33
27-05-2024 07:45,91,299,463,277,34,41,44,120,431,167,27,41,112,351,454,275,36,33
27-05-2024 08:00,88,293,458,286,34,41,41,110,432,160,26,41,115,354,453,279,36,33
27-05-2024 08:15,93,305,449,294,34,41,43,119,439,153,26,40,124,366,448,264,36,33
27-05-2024 08:30,97,313,450,267,34,41,40,103,439,145,26,40,115,354,449,272,36,33
27-05-2024 08:45,100,318,444,218,34,41,39,98,443,132,26,40,121,362,443,248,36,32
27-05-2024 09:00,90,297,448,196,34,41,39,96,450,126,26,40,125,366,442,253,36,32
27-05-2024 09:15,81,269,456,165,33,42,38,96,454,119,26,41,120,359,442,241,36,32
27-05-2024 09:30,80,265,463,166,33,42,38,95,466,158,26,40,113,350,439,227,36,32
27-05-2024 09:45,85,285,444,222,34,41,37,90,484,164,25,41,107,343,434,214,36,32
27-05-2024 10:00,85,286,448,138,34,40,36,82,509,163,25,41,104,337,436,206,36,31
27-05-2024 10:15,92,305,446,106,34,39,34,78,547,167,25,41,103,336,433,202,36,31
27-05-2024 10:30,92,303,441,126,34,39,36,82,575,157,25,41,109,345,435,194,36,31
27-05-2024 10:45,90,297,455,162,34,40,37,87,607,149,25,43,110,347,432,193,36,31
27-05-2024 11:00,90,298,452,182,34,40,38,92,658,140,25,42,113,349,429,180,36,31
27-05-2024 11:15,88,293,439,132,34,39,38,95,703,135,25,42,111,347,430,179,36,31
27-05-2024 11:30,83,282,426,104,34,39,39,98,728,130,25,42,107,341,430,163,36,31
