,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5
Date,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20
Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,135.33333333333334,108.75,154.0,222.5,232.25,250.25,290.25,230.75,182.5,214.0,64.75,182.75,274.0,250.0,253.75,272.75,272.0,264.5,226.0,162.0,153.0,113.0,170.0,272.5,282.25,294.5,320.25,280.75,224.0,264.0,64.75,223.0,309.5,297.75,303.75,322.75,322.0,314.5,276.0,193.0,60.666666666666664,43.0,75.75,90.25,96.25,103.5,119.75,95.0,72.75,86.25,27.5,73.0,112.25,95.5,92.5,101.75,101.75,97.75,81.75,62.0
1,127.0,130.75,211.0,209.75,221.5,222.0,316.25,211.25,183.5,214.25,46.75,199.0,234.5,240.0,279.5,284.5,267.25,277.0,203.0,,140.5,146.0,187.25,259.75,271.5,272.0,352.0,261.25,225.75,264.25,46.75,247.75,284.5,290.0,329.5,334.5,317.25,327.0,252.75,,54.75,56.75,93.25,84.0,90.0,91.0,141.0,85.25,73.25,87.0,21.25,78.75,97.25,90.25,106.0,107.0,99.25,104.0,77.75,
2,197.25,135.0,312.5,223.25,222.0,181.5,325.25,224.5,152.5,198.0,42.5,201.75,249.75,242.75,276.75,268.25,266.25,280.75,198.5,,184.25,152.5,232.0,273.25,272.0,222.5,366.25,274.5,178.5,244.75,42.5,251.0,295.75,292.75,326.75,318.25,316.25,330.75,247.5,,89.25,60.5,139.75,91.25,90.5,72.5,151.25,91.5,59.75,79.25,19.0,80.0,104.75,91.75,104.0,100.25,98.5,105.5,76.5,
3,182.75,134.75,358.5,231.75,195.75,198.0,322.5,214.5,139.0,194.75,69.5,209.75,243.5,254.5,264.25,266.0,249.0,273.25,218.0,,178.75,152.25,307.25,281.75,242.5,247.0,363.25,264.5,158.75,241.75,69.5,259.75,292.0,304.5,314.25,316.0,299.0,323.25,268.0,,83.5,60.0,195.75,95.75,77.5,77.75,149.0,87.0,54.0,77.0,28.0,84.5,102.25,99.25,97.75,98.75,90.25,102.0,80.5,
4,106.75,146.75,357.5,228.0,162.0,199.25,323.5,209.25,130.0,203.75,118.5,210.0,235.25,259.75,261.5,258.75,242.0,267.75,243.0,,110.25,165.75,305.5,277.5,192.75,248.25,363.0,259.25,145.0,253.75,127.75,260.0,285.25,309.75,311.5,308.75,292.0,317.75,293.0,,41.25,71.5,195.0,93.5,64.25,78.75,149.75,83.75,49.25,81.25,44.5,84.5,97.75,103.0,96.5,95.0,87.75,99.5,88.0,
5,84.5,143.25,341.75,314.0,216.25,210.0,345.25,199.25,134.75,213.5,121.5,208.75,235.75,262.5,261.25,249.0,232.75,279.75,257.5,,84.5,164.5,275.5,348.0,263.5,260.0,386.25,248.5,152.0,263.5,132.25,258.75,285.75,312.5,311.25,299.0,282.75,329.75,307.5,,30.0,70.25,174.5,138.25,88.5,84.25,170.25,78.5,52.0,86.5,45.5,83.75,98.25,104.75,96.0,90.5,83.75,105.0,94.5,
6,95.5,216.0,329.25,360.75,317.25,264.5,338.75,195.0,143.75,217.5,131.5,188.0,246.75,264.5,291.0,269.25,232.75,286.25,296.0,,97.25,188.5,251.75,398.75,353.25,305.75,380.5,242.5,165.25,267.5,147.5,232.0,293.25,314.5,339.25,319.25,282.75,336.25,343.5,,35.5,94.75,157.75,185.75,142.0,112.75,165.0,77.0,55.75,88.0,50.25,74.5,102.75,105.75,116.75,100.0,84.5,109.5,119.5,
7,114.0,195.0,334.0,372.5,275.0,315.0,363.75,199.0,138.0,213.0,148.5,166.0,233.0,280.0,303.75,281.25,248.5,299.5,289.0,,120.75,183.25,260.5,408.0,312.75,349.0,401.0,248.5,156.75,263.0,172.75,198.75,283.0,326.25,352.5,331.25,298.5,349.25,339.0,,45.25,88.5,164.25,195.75,115.25,139.0,187.5,78.75,53.0,86.5,58.25,65.75,96.5,113.5,123.0,106.0,90.0,119.25,107.75,
8,119.5,194.25,289.75,379.0,213.25,294.25,441.5,187.25,179.25,213.25,177.25,181.0,215.25,303.75,264.25,263.0,260.25,258.75,287.0,,129.25,181.75,221.25,413.25,263.25,326.5,463.25,230.75,214.0,263.25,215.5,218.25,265.25,342.75,314.25,313.0,310.25,308.75,337.0,,49.25,88.0,128.25,202.75,86.25,124.0,253.25,74.75,72.25,86.25,69.25,73.0,87.25,125.0,97.5,97.0,95.25,95.25,107.0,
9,222.25,245.0,295.0,368.25,352.0,222.25,447.5,337.5,170.75,229.25,204.75,233.5,207.5,256.0,249.0,264.0,311.5,245.0,299.75,,189.0,218.75,234.25,404.75,376.25,270.0,468.0,371.5,206.25,277.25,251.25,274.25,256.75,306.0,299.0,314.0,356.75,295.0,348.0,,96.25,119.5,136.75,191.75,174.0,91.75,258.5,185.75,68.25,93.75,83.0,100.5,83.25,100.25,90.25,97.5,131.75,89.0,120.75,
10,98.5,288.5,137.25,343.25,246.25,192.75,429.25,211.75,160.75,202.75,170.5,172.75,200.75,244.25,281.25,283.0,227.5,258.25,781.0,,102.25,221.75,155.5,383.5,290.5,223.75,449.25,261.75,191.0,252.75,205.25,208.75,250.0,294.25,331.25,333.0,277.5,308.25,734.75,,38.5,129.25,64.0,168.75,102.5,77.0,246.5,84.75,63.75,80.5,67.75,68.75,79.5,92.75,108.0,108.75,83.5,94.5,498.5,
11,60.0,87.75,121.5,252.75,258.75,123.75,212.5,199.5,169.25,206.75,164.75,174.75,202.25,266.25,235.5,289.5,211.75,263.25,249.25,,60.0,87.75,132.25,296.0,300.25,136.0,259.5,248.75,204.0,256.75,197.5,212.25,251.75,314.75,285.5,339.5,260.25,313.25,299.25,,21.5,32.25,51.5,104.5,106.75,46.75,85.75,78.75,67.75,82.75,64.75,70.0,80.25,106.5,85.0,110.25,79.25,97.25,91.25,
12,54.75,77.5,115.0,243.5,168.0,144.0,197.75,201.5,164.0,212.0,138.25,174.5,194.0,211.5,190.25,283.75,150.5,239.5,185.75,,54.75,77.5,122.5,291.0,201.5,166.25,245.5,251.0,195.75,262.0,157.0,211.75,240.0,256.75,231.75,333.75,175.75,289.5,228.75,,19.75,28.0,47.5,103.0,66.0,56.25,78.5,79.75,65.0,85.5,53.75,69.75,77.25,78.5,72.0,107.25,57.75,87.0,72.0,
13,59.75,85.5,93.25,169.0,155.0,120.25,176.25,195.75,164.5,198.5,150.75,166.75,206.25,171.5,170.0,264.5,151.75,218.75,153.0,,59.75,85.5,94.75,199.75,182.5,130.25,214.5,243.0,197.0,247.5,176.0,200.25,256.25,207.5,204.75,314.5,177.25,266.75,179.5,,21.5,31.5,35.25,67.25,61.0,45.25,70.5,77.25,65.25,78.25,59.0,66.75,82.0,62.75,65.75,97.75,58.25,80.25,58.75,
