CreatedDate,pm25_1201240085,pm10_1201240085,co2_1201240085,voc_1201240085
01-04-2024 01:00,34.5,93,772.5,367.5
01-04-2024 02:00,30,79.5,728.5,344
01-04-2024 03:00,26.5,70,665.5,288.5
01-04-2024 04:00,25,66,679,388
01-04-2024 05:00,24.5,64.5,669,493
01-04-2024 06:00,26.5,70.5,618.5,406.5
01-04-2024 07:00,41,104,583.5,397
01-04-2024 08:00,67,164,576,236
01-04-2024 09:00,54,140,731,283
01-04-2024 10:00,68,165.5,751,263.5
01-04-2024 11:00,55,149,741.5,212.5
01-04-2024 12:00,79,181.5,721.5,194
01-04-2024 13:00,585.5,967,808,246.5
01-04-2024 14:00,384.5,536.5,695.5,121
01-04-2024 15:00,110,219,723.5,87
01-04-2024 16:00,73.5,171.5,763.5,87
01-04-2024 17:00,50,136.5,771,71
01-04-2024 18:00,37.5,103,845.5,105
01-04-2024 19:00,31.5,84,956.5,200.5
01-04-2024 20:00,63,157.5,1134.5,435.5
01-04-2024 21:00,40,109.5,1214.5,523.5
01-04-2024 22:00,32,86,1313,762
01-04-2024 23:00,27.5,74,1257.5,733.5
02-04-2024 00:00,25.5,67,1222.5,710.5
02-04-2024 01:00,23,62,987.5,490.5
02-04-2024 02:00,22.5,61,857,396.5
02-04-2024 03:00,22,59,754,302
02-04-2024 04:00,22.5,60.5,690,249.5
02-04-2024 05:00,24.5,64,659,225.5
02-04-2024 06:00,26,69,724,263.5
02-04-2024 07:00,33.5,91,720,264
02-04-2024 08:00,56.5,153,754.5,281.5
02-04-2024 09:00,66.5,165,652,213.5
02-04-2024 10:00,67.5,164.5,743.5,214
02-04-2024 11:00,83.5,184.5,796.5,235.5
02-04-2024 12:00,60.5,157,909.5,302.5
02-04-2024 13:00,43.5,119,862.5,240.5
02-04-2024 14:00,27.5,73,793.5,166.5
02-04-2024 15:00,21.5,56.5,706,139.5
02-04-2024 16:00,17,41.5,603.5,100.5
02-04-2024 17:00,15,36,510.5,77
02-04-2024 18:00,35,88,605.5,238
02-04-2024 19:00,92.5,196.5,781,470.5
02-04-2024 20:00,64.5,161,881.5,553.5
02-04-2024 21:00,52,141.5,948.5,763.5
02-04-2024 22:00,39.5,107,1001,875
02-04-2024 23:00,32.5,85.5,1001,804.5
03-04-2024 00:00,29.5,78.5,1065,903
03-04-2024 01:00,29.5,78.5,918,700
03-04-2024 02:00,35.5,95.5,779.5,555
03-04-2024 03:00,46.5,128,684.5,449.5
03-04-2024 04:00,46,128.5,631.5,423.5
03-04-2024 05:00,48,132.5,603,496.5
03-04-2024 06:00,52.5,146.5,611.5,530.5
03-04-2024 07:00,54,148.5,662,643
03-04-2024 08:00,56,151,755.5,828
03-04-2024 09:00,55.5,151,708.5,636.5
03-04-2024 10:00,101,209.5,669,571
03-04-2024 11:00,60,155,545.5,309.5
03-04-2024 12:00,58.5,140.5,439,153
03-04-2024 13:00,42.5,113.5,393.5,91
03-04-2024 14:00,30.5,81.5,525,151.5
03-04-2024 15:00,27.5,74,606.5,218.5
03-04-2024 16:00,27.5,74,625.5,222.5
03-04-2024 17:00,28,75.5,638,222.5
03-04-2024 18:00,29,77.5,506.5,162.5
03-04-2024 19:00,31,79.5,857,394.5
03-04-2024 20:00,104,213,836,498
03-04-2024 21:00,92,193.5,976.5,667
03-04-2024 22:00,78.5,177,1202.5,937
03-04-2024 23:00,67.5,165,1067,867.5
04-04-2024 00:00,64,161.5,1046,828.5
04-04-2024 01:00,66.5,164,1016.5,807.5
04-04-2024 02:00,66,163,968,770
04-04-2024 03:00,61,158,869,588
04-04-2024 04:00,50.5,139,765.5,427
04-04-2024 05:00,39,105,721.5,376
04-04-2024 06:00,34,90.5,706.5,391.5
04-04-2024 07:00,29,79,721.5,707
04-04-2024 08:00,44,121,605.5,577.5
04-04-2024 09:00,43,119,625.5,620.5
04-04-2024 10:00,179,302.5,737,717
04-04-2024 11:00,84.5,186,611.5,401.5
04-04-2024 12:00,73,168.5,567,316
04-04-2024 13:00,41.5,115,512,153.5
04-04-2024 14:00,29,78.5,656.5,146
04-04-2024 15:00,27,72,746,167
04-04-2024 16:00,25.5,66.5,751,228.5
04-04-2024 17:00,30.5,83,757.5,292.5
04-04-2024 18:00,28,75,709,381
04-04-2024 19:00,30.5,84,735,337
04-04-2024 20:00,71,169,896,603
04-04-2024 21:00,52,144,1203.5,1084
04-04-2024 22:00,44.5,123,1273,1437
04-04-2024 23:00,41.5,112.5,1113,1731
05-04-2024 00:00,38,104.5,1023.5,1584
05-04-2024 01:00,35,92.5,1075.5,2065
05-04-2024 02:00,32,85,1083,2552.5
05-04-2024 03:00,34,90.5,899.5,1327.5
05-04-2024 04:00,32.5,87.5,796,811
05-04-2024 05:00,31.5,85,728,506.5
05-04-2024 06:00,30.5,82,703,409.5
05-04-2024 07:00,47.5,119.5,615.5,273
05-04-2024 08:00,75.5,175.5,490,124.5
05-04-2024 09:00,58.5,153.5,541.5,142.5
05-04-2024 10:00,50,135.5,548,130
05-04-2024 11:00,43,113,604.5,137.5
05-04-2024 12:00,38,103,528.5,82.5
05-04-2024 13:00,28,77,457,41
05-04-2024 14:00,27,74,633.5,103.5
05-04-2024 15:00,35,94.5,723,158.5
05-04-2024 16:00,24,64.5,659,147.5
05-04-2024 17:00,21,56,626.5,132
05-04-2024 18:00,20,50,758,234
05-04-2024 19:00,36.5,97,692,215.5
05-04-2024 20:00,112,221.5,830,398
05-04-2024 21:00,72.5,170.5,1004,597
05-04-2024 22:00,51.5,143,1001,824
05-04-2024 23:00,42.5,117.5,1007.5,805.5
06-04-2024 00:00,38.5,104.5,891.5,762
06-04-2024 01:00,38.5,104.5,781,660
06-04-2024 02:00,39.5,106.5,724,659.5
06-04-2024 03:00,38,104,681,823.5
06-04-2024 04:00,34.5,93,657,1130.5
06-04-2024 05:00,36.5,99,648,1155.5
06-04-2024 06:00,39.5,107.5,626.5,955.5
06-04-2024 07:00,45.5,126.5,684.5,949
06-04-2024 08:00,66.5,163.5,563,416.5
06-04-2024 09:00,84.5,185.5,376,119.5
06-04-2024 10:00,67,164.5,434,88.5
06-04-2024 11:00,60.5,156,644.5,243
06-04-2024 12:00,47.5,130.5,771.5,407
06-04-2024 13:00,35,96,609,138.5
06-04-2024 14:00,28,74,561.5,78
06-04-2024 15:00,23.5,63,696,287.5
06-04-2024 16:00,22.5,59.5,725.5,293.5
06-04-2024 17:00,23,62,652,268.5
06-04-2024 18:00,34,91,567,118.5
06-04-2024 19:00,24,63.5,541.5,109.5
06-04-2024 20:00,42.5,111,734.5,534
06-04-2024 21:00,39,106,731.5,559
06-04-2024 22:00,37.5,101.5,696,557
06-04-2024 23:00,41,112,592.5,408
07-04-2024 00:00,43,118.5,487.5,251
07-04-2024 01:00,42.5,116,458,241
07-04-2024 02:00,41.5,116,491,406.5
07-04-2024 03:00,42.5,116.5,495,409
07-04-2024 04:00,43,119.5,500.5,363
07-04-2024 05:00,56,151,527.5,436
07-04-2024 06:00,62,160,526.5,575.5
07-04-2024 07:00,73,172,510,586.5
07-04-2024 08:00,113.5,227.5,515,470.5
07-04-2024 09:00,127,247,588,620
07-04-2024 10:00,109,218.5,568.5,339
07-04-2024 11:00,81,181,675.5,366.5
07-04-2024 12:00,48.5,133.5,595.5,219.5
07-04-2024 13:00,32,87,532.5,120
07-04-2024 14:00,33,91.5,484,68.5
07-04-2024 15:00,54,128.5,718,224
07-04-2024 16:00,73.5,172,924.5,338.5
07-04-2024 17:00,53.5,147.5,941.5,299
07-04-2024 18:00,39,106.5,1015.5,351
07-04-2024 19:00,39,105.5,1137,552
07-04-2024 20:00,28,74.5,1048.5,507
07-04-2024 21:00,27,70.5,1228.5,759
07-04-2024 22:00,27,71,1416.5,1132
07-04-2024 23:00,28.5,76.5,1438,1778
08-04-2024 00:00,33,88,1351.5,1773
08-04-2024 01:00,35,95.5,1143.5,1516
08-04-2024 02:00,34,92,982,1244
08-04-2024 03:00,34,91.5,880,1082
08-04-2024 04:00,39,108,788.5,1047.5
08-04-2024 05:00,39.5,108.5,728,970.5
08-04-2024 06:00,42.5,116.5,748,1008.5
08-04-2024 07:00,55,149,729,786
08-04-2024 08:00,74,172.5,803,826.5
08-04-2024 09:00,89,191.5,706,545.5
08-04-2024 10:00,101,207,652.5,403.5
08-04-2024 11:00,74.5,173.5,596,242.5
08-04-2024 12:00,57,152,560.5,162.5
08-04-2024 13:00,40,109,499.5,72
08-04-2024 14:00,29.5,78.5,614,135
08-04-2024 15:00,24,62.5,685,283
08-04-2024 16:00,21.5,56.5,707.5,280.5
08-04-2024 17:00,18.5,45,812.5,353
08-04-2024 18:00,20,51,798,435
08-04-2024 19:00,21,55,610.5,227.5
