CreatedDate,Pm2.5,Pm10
01-04-2024 01:00,35.5,109.5
01-04-2024 02:00,37.25,96.5
01-04-2024 03:00,28.5,87
01-04-2024 04:00,28.5,86.25
01-04-2024 05:00,35.25,104.25
01-04-2024 06:00,41.75,111
01-04-2024 07:00,56,133.75
01-04-2024 08:00,98,203
01-04-2024 09:00,87,210
01-04-2024 10:00,82.25,219.25
01-04-2024 11:00,76.5,204.5
01-04-2024 12:00,44.75,177.75
01-04-2024 13:00,31,154.75
01-04-2024 14:00,19.25,145
01-04-2024 15:00,20.75,126.5
01-04-2024 16:00,21.5,130.5
01-04-2024 17:00,17.25,145
01-04-2024 18:00,18.5,138
01-04-2024 19:00,18,133.5
01-04-2024 20:00,15.75,139.75
01-04-2024 21:00,28,174.75
01-04-2024 22:00,33.25,180.75
01-04-2024 23:00,38.5,170.5
02-04-2024 00:00,33.25,158
02-04-2024 01:00,35.75,150
02-04-2024 02:00,46,140
02-04-2024 03:00,32.75,125.5
02-04-2024 04:00,30.5,117.5
02-04-2024 05:00,36.5,117.25
02-04-2024 06:00,41,122.75
02-04-2024 07:00,50.25,144.75
02-04-2024 08:00,82.25,205
02-04-2024 09:00,89.5,224.5
02-04-2024 10:00,68.75,319
02-04-2024 11:00,54,564.25
02-04-2024 12:00,44.5,185.75
02-04-2024 13:00,30.5,224.75
02-04-2024 14:00,18.5,161
02-04-2024 15:00,12.75,141.5
02-04-2024 16:00,10.25,110.75
02-04-2024 17:00,14.75,114
02-04-2024 18:00,17.5,118.75
02-04-2024 19:00,17.75,127.5
02-04-2024 20:00,17.25,140
02-04-2024 21:00,35.5,166.5
02-04-2024 22:00,56.75,218
02-04-2024 23:00,44.5,182.5
03-04-2024 00:00,44.75,162.75
03-04-2024 01:00,44.5,156.5
03-04-2024 02:00,62,171.75
03-04-2024 03:00,99,206.75
03-04-2024 04:00,148.25,268.5
03-04-2024 05:00,147.75,265
03-04-2024 06:00,125,250.75
03-04-2024 07:00,92.75,226
03-04-2024 08:00,86,232
03-04-2024 09:00,83,243
03-04-2024 10:00,67.25,208.75
03-04-2024 11:00,43.75,163.25
03-04-2024 12:00,31.75,141.25
03-04-2024 13:00,26.25,134.25
03-04-2024 14:00,28.75,150.5
03-04-2024 15:00,28.5,142.25
03-04-2024 16:00,39.75,176.75
03-04-2024 17:00,39.25,197.25
03-04-2024 18:00,28.75,163
03-04-2024 19:00,26.75,156
03-04-2024 20:00,50.75,232.5
03-04-2024 21:00,85.75,312.25
03-04-2024 22:00,110.75,334.5
03-04-2024 23:00,139.25,373.5
04-04-2024 00:00,160,380.5
04-04-2024 01:00,170,387
04-04-2024 02:00,136.25,341.25
04-04-2024 03:00,77,210.75
04-04-2024 04:00,58.75,193
04-04-2024 05:00,31.75,147.5
04-04-2024 06:00,32.75,112
04-04-2024 07:00,31.75,128.5
04-04-2024 08:00,44.25,182.25
04-04-2024 09:00,60,256.25
04-04-2024 10:00,74.75,282.5
04-04-2024 11:00,80.75,265.25
04-04-2024 12:00,46.5,176.25
04-04-2024 13:00,39.75,168
04-04-2024 14:00,26.75,123
04-04-2024 15:00,33.75,150.5
04-04-2024 16:00,28.25,146.25
04-04-2024 17:00,23.25,128
04-04-2024 18:00,22.75,124
04-04-2024 19:00,21.25,129.75
04-04-2024 20:00,33.75,175.75
04-04-2024 21:00,54.75,254.25
04-04-2024 22:00,69.75,317.75
04-04-2024 23:00,83,338.75
05-04-2024 00:00,84.25,325
05-04-2024 01:00,67.75,232.25
05-04-2024 02:00,60.5,179.25
05-04-2024 03:00,58.75,172.5
05-04-2024 04:00,54.75,144.25
05-04-2024 05:00,45.5,128.75
05-04-2024 06:00,48.5,140.75
05-04-2024 07:00,62,186.5
05-04-2024 08:00,88.25,258.25
05-04-2024 09:00,79.75,239.75
05-04-2024 10:00,61,239.5
05-04-2024 11:00,55.5,245.5
05-04-2024 12:00,37.5,171.25
05-04-2024 13:00,32.25,215
05-04-2024 14:00,29.67,171.33
05-04-2024 15:00,27.75,175.75
05-04-2024 16:00,25,138.5
05-04-2024 17:00,27.75,119.75
05-04-2024 18:00,28.75,129.75
05-04-2024 19:00,34.25,155
05-04-2024 20:00,39.25,171.75
05-04-2024 21:00,53.75,210
05-04-2024 22:00,62.5,231.25
05-04-2024 23:00,72,238.75
06-04-2024 00:00,67.5,226
06-04-2024 01:00,68.25,207
06-04-2024 02:00,81.75,201.25
06-04-2024 03:00,69.5,179.25
06-04-2024 04:00,54,139.75
06-04-2024 05:00,62.5,153.75
06-04-2024 06:00,75.25,177
06-04-2024 07:00,68.25,182
06-04-2024 08:00,90,248.25
06-04-2024 09:00,109,314
06-04-2024 10:00,82.25,329.5
06-04-2024 11:00,75,457.75
06-04-2024 12:00,71.25,457.5
06-04-2024 13:00,46.75,261.5
06-04-2024 14:00,31.25,178.25
06-04-2024 15:00,22.25,167.5
06-04-2024 16:00,20.5,165
06-04-2024 17:00,22.75,146.75
06-04-2024 18:00,23.75,132
06-04-2024 19:00,20.5,144
06-04-2024 20:00,24.25,149.75
06-04-2024 21:00,33.5,174
06-04-2024 22:00,46.5,206.5
06-04-2024 23:00,64.5,239.25
07-04-2024 00:00,67.5,236.25
07-04-2024 01:00,62.75,239.25
07-04-2024 02:00,62.5,223.75
07-04-2024 03:00,64,212.25
07-04-2024 04:00,66.25,211.25
07-04-2024 05:00,81.75,205
07-04-2024 06:00,105,230.25
07-04-2024 07:00,105.25,243.75
07-04-2024 08:00,154.25,303.25
07-04-2024 09:00,218.25,400
07-04-2024 10:00,194.75,384.25
07-04-2024 11:00,102,248
07-04-2024 12:00,39.75,141
07-04-2024 13:00,28,125.5
07-04-2024 14:00,12,96.75
07-04-2024 15:00,9.75,93.5
07-04-2024 16:00,12.5,85.75
07-04-2024 17:00,13.25,85
07-04-2024 18:00,14.25,96
07-04-2024 19:00,24.75,134.75
07-04-2024 20:00,27.25,168
07-04-2024 21:00,34.25,228.25
07-04-2024 22:00,58,266.75
07-04-2024 23:00,75.5,275
08-04-2024 00:00,83.25,276.5
08-04-2024 01:00,81.25,241.75
08-04-2024 02:00,70.5,207.75
08-04-2024 03:00,60.5,201
08-04-2024 04:00,57.25,164.75
08-04-2024 05:00,69.25,185.5
08-04-2024 06:00,69.75,176.75
08-04-2024 07:00,86.25,212
08-04-2024 08:00,115.75,268.75
08-04-2024 09:00,138.25,349.75
08-04-2024 10:00,154,388
08-04-2024 11:00,108.5,295.5
08-04-2024 12:00,48,171.5
08-04-2024 13:00,30.75,142
08-04-2024 14:00,23.5,125.25
08-04-2024 15:00,20.5,112.25
08-04-2024 16:00,15.5,119.5
08-04-2024 17:00,15,123.75
08-04-2024 18:00,18,108.5
08-04-2024 19:00,19.25,127.25
08-04-2024 20:00,25,164
08-04-2024 21:00,34.75,206.5
08-04-2024 22:00,50.5,236.25
08-04-2024 23:00,67.75,267
09-04-2024 00:00,81.75,257.75
09-04-2024 01:00,116.5,260.25
09-04-2024 02:00,203.75,357.25
09-04-2024 03:00,208.5,351.75
09-04-2024 04:00,144.25,279
09-04-2024 05:00,118.25,277.5
09-04-2024 06:00,117.25,273.75
09-04-2024 07:00,117.75,302.75
09-04-2024 08:00,131,366.5
09-04-2024 09:00,118.5,313
09-04-2024 10:00,106.5,279.5
09-04-2024 11:00,66.25,196
09-04-2024 12:00,41.75,142.25
09-04-2024 13:00,46.5,150.25
09-04-2024 14:00,45.5,148.25
09-04-2024 15:00,46.75,165.5
09-04-2024 16:00,41.5,174
09-04-2024 17:00,32,135.5
09-04-2024 18:00,40.25,139.75
09-04-2024 19:00,28,123.25
09-04-2024 20:00,30,152.25
09-04-2024 21:00,49,230
09-04-2024 22:00,70,274
09-04-2024 23:00,102.5,307.5
10-04-2024 00:00,116,297
10-04-2024 01:00,100.25,241.75
10-04-2024 02:00,81.25,195
10-04-2024 03:00,87.75,224.25
10-04-2024 04:00,93,205.25
10-04-2024 05:00,82.75,180.25
10-04-2024 06:00,79.25,172
10-04-2024 07:00,85.5,189
10-04-2024 08:00,103.5,272.5
10-04-2024 09:00,110.25,295.75
10-04-2024 10:00,112.75,304.25
10-04-2024 11:00,95.25,261
10-04-2024 12:00,76,224.75
10-04-2024 13:00,55.75,177.25
10-04-2024 14:00,38.5,141.75
