id,deviceID,datetime,pm25,pm10,aqi,co2,voc,temp,humidity,battery,viral_index
5983,THIRD_DPCC_SCR_RKPURAM,2024-05-01 00:00:00,101,265,237,0,0,24.5,54.2,5,0
5989,THIRD_DPCC_SCR_RKPURAM,2024-05-01 00:15:00,101,265,237,0,0,23.9,55.6,5,0
5993,THIRD_DPCC_SCR_RKPURAM,2024-05-01 00:25:00,101,265,237,0,0,23.5,57.2,5,0
5996,THIRD_DPCC_SCR_RKPURAM,2024-05-01 00:30:00,101,265,237,0,0,23.4,57.4,5,0
5998,THIRD_DPCC_SCR_RKPURAM,2024-05-01 00:40:00,101,265,237,0,0,23.2,58,5,0
6001,THIRD_DPCC_SCR_RKPURAM,2024-05-01 00:50:00,101,265,237,0,0,23.1,58.6,5,0
6007,THIRD_DPCC_SCR_RKPURAM,2024-05-01 01:00:00,118,296,293,0,0,22.9,59.7,5,0
6011,THIRD_DPCC_SCR_RKPURAM,2024-05-01 01:10:00,118,296,293,0,0,22.7,60.4,5,0
6015,THIRD_DPCC_SCR_RKPURAM,2024-05-01 01:25:00,118,296,293,0,0,22.5,61.6,5,0
6018,THIRD_DPCC_SCR_RKPURAM,2024-05-01 01:30:00,118,296,293,0,0,22.4,61.8,5,0
6020,THIRD_DPCC_SCR_RKPURAM,2024-05-01 01:45:00,118,296,293,0,0,22.5,59.3,5,0
6027,THIRD_DPCC_SCR_RKPURAM,2024-05-01 02:00:00,121,233,301,0,0,24,46.8,5,0
6031,THIRD_DPCC_SCR_RKPURAM,2024-05-01 02:10:00,121,233,301,0,0,24.5,44.3,5,0
6035,THIRD_DPCC_SCR_RKPURAM,2024-05-01 02:20:00,121,233,301,0,0,24.4,43.8,5,0
6038,THIRD_DPCC_SCR_RKPURAM,2024-05-01 02:35:00,121,233,301,0,0,24.1,43.7,5,0
6040,THIRD_DPCC_SCR_RKPURAM,2024-05-01 02:40:00,121,233,301,0,0,24,44.2,5,0
6047,THIRD_DPCC_SCR_RKPURAM,2024-05-01 03:00:00,139,306,315,0,0,23.6,46.2,5,0
6051,THIRD_DPCC_SCR_RKPURAM,2024-05-01 03:10:00,139,306,315,0,0,23.7,44.4,5,0
6055,THIRD_DPCC_SCR_RKPURAM,2024-05-01 03:20:00,139,306,315,0,0,23.7,43.7,5,0
6056,THIRD_DPCC_SCR_RKPURAM,2024-05-01 03:25:00,139,306,315,0,0,23.8,43.5,5,0
6059,THIRD_DPCC_SCR_RKPURAM,2024-05-01 03:30:00,139,306,315,0,0,23.8,43.8,5,0
6061,THIRD_DPCC_SCR_RKPURAM,2024-05-01 03:40:00,139,306,315,0,0,23.8,45.2,5,0
6068,THIRD_DPCC_SCR_RKPURAM,2024-05-01 04:00:00,100,263,233,0,0,23.5,48.6,5,0
6072,THIRD_DPCC_SCR_RKPURAM,2024-05-01 04:10:00,100,263,233,0,0,23.2,49.5,5,0
6076,THIRD_DPCC_SCR_RKPURAM,2024-05-01 04:25:00,100,263,233,0,0,22.8,51.1,5,0
6079,THIRD_DPCC_SCR_RKPURAM,2024-05-01 04:30:00,100,263,233,0,0,22.7,51.6,5,0
6081,THIRD_DPCC_SCR_RKPURAM,2024-05-01 04:40:00,100,263,233,0,0,22.5,52.3,5,0
6085,THIRD_DPCC_SCR_RKPURAM,2024-05-01 04:55:00,100,263,233,0,0,22.4,52.7,5,0
6089,THIRD_DPCC_SCR_RKPURAM,2024-05-01 05:00:00,59,245,197,0,0,22.3,53,5,0
6093,THIRD_DPCC_SCR_RKPURAM,2024-05-01 05:10:00,59,245,197,0,0,22.1,53.6,5,0
6097,THIRD_DPCC_SCR_RKPURAM,2024-05-01 05:25:00,59,245,197,0,0,21.8,54.6,5,0
6100,THIRD_DPCC_SCR_RKPURAM,2024-05-01 05:30:00,59,245,197,0,0,21.9,54.6,5,0
