id,deviceID,datetime,pm25,pm10,aqi,co2,voc,temp,humidity,battery,viral_index
10041,CPCB1703205345,2024-05-09 10:30:00,91,182,203,0,0,32.69,40.08,5,0
27196,CPCB1703205345,2024-05-20 08:45:00,39,56,65,0,0,37.75,19.32,5,0
27202,CPCB1703205345,2024-05-20 09:15:00,34,49,57,0,0,38.39,19.06,5,0
27211,CPCB1703205345,2024-05-20 09:30:00,33,46,55,0,0,38.72,18.1,5,0
27221,CPCB1703205345,2024-05-20 09:45:00,33,46,55,0,0,39.46,17.51,5,0
27227,CPCB1703205345,2024-05-20 10:15:00,9,13,45,0,0,39.87,17.39,5,0
27279,CPCB1703205345,2024-05-20 12:30:00,110,156,267,0,0,42.68,12.37,5,0
27288,CPCB1703205345,2024-05-20 12:45:00,123,176,302,0,0,43.36,11.95,5,0
27294,CPCB1703205345,2024-05-20 13:15:00,123,176,302,0,0,43.09,11.39,5,0
27302,CPCB1703205345,2024-05-20 13:30:00,123,176,302,0,0,43.38,11.7,5,0
27311,CPCB1703205345,2024-05-20 13:45:00,123,176,302,0,0,43.4,10.8,5,0
27337,CPCB1703205345,2024-05-20 15:00:00,106,152,253,0,0,43.47,9.99,5,0
27340,CPCB1703205345,2024-05-20 15:15:00,120,171,300,0,0,43.16,10.83,5,0
27345,CPCB1703205345,2024-05-20 15:30:00,120,171,300,0,0,42.9,11.1,5,0
27359,CPCB1703205345,2024-05-20 15:45:00,120,171,300,0,0,43.1,11.11,5,0
27367,CPCB1703205345,2024-05-20 16:15:00,134,192,311,0,0,42.91,10.55,5,0
27377,CPCB1703205345,2024-05-20 16:30:00,134,192,311,0,0,42.83,10.56,5,0
27386,CPCB1703205345,2024-05-20 16:45:00,134,192,311,0,0,42.72,10.85,5,0
27390,CPCB1703205345,2024-05-20 17:15:00,123,176,302,0,0,42.46,10.63,5,0
27402,CPCB1703205345,2024-05-20 17:30:00,123,176,302,0,0,42.28,10.75,5,0
27412,CPCB1703205345,2024-05-20 17:45:00,123,176,302,0,0,42.01,10.81,5,0
27418,CPCB1703205345,2024-05-20 18:15:00,99,141,230,0,0,41.53,11.16,5,0
27428,CPCB1703205345,2024-05-20 18:30:00,99,141,230,0,0,41.17,11.83,5,0
27437,CPCB1703205345,2024-05-20 18:45:00,99,141,230,0,0,40.68,12.82,5,0
27445,CPCB1703205345,2024-05-20 19:15:00,100,142,233,0,0,39.95,14.33,5,0
27455,CPCB1703205345,2024-05-20 19:30:00,100,142,233,0,0,39.6,15.09,5,0
27464,CPCB1703205345,2024-05-20 19:45:00,100,142,233,0,0,39.41,15.37,5,0
27470,CPCB1703205345,2024-05-20 20:15:00,114,163,280,0,0,38.94,16.09,5,0
27480,CPCB1703205345,2024-05-20 20:30:00,114,163,280,0,0,38.34,18.03,5,0
27489,CPCB1703205345,2024-05-20 20:45:00,114,163,280,0,0,37.38,20.29,5,0
27495,CPCB1703205345,2024-05-20 21:15:00,130,186,308,0,0,36.52,22.95,5,0
27505,CPCB1703205345,2024-05-20 21:30:00,130,186,308,0,0,36.28,24.44,5,0
27514,CPCB1703205345,2024-05-20 21:45:00,130,186,308,0,0,35.97,25.34,5,0
27520,CPCB1703205345,2024-05-20 22:15:00,362,517,509,0,0,35.95,23.89,5,0
27528,CPCB1703205345,2024-05-20 22:30:00,362,517,509,0,0,37.05,20.85,5,0
27537,CPCB1703205345,2024-05-20 22:45:00,362,517,509,0,0,37.3,20.43,5,0
27543,CPCB1703205345,2024-05-20 23:15:00,284,406,426,0,0,36.98,20.83,5,0
27560,CPCB1703205345,2024-05-20 23:45:00,284,406,426,0,0,36.52,23.65,5,0
27583,CPCB1703205345,2024-05-21 01:15:00,114,163,280,0,0,35.11,35.03,5,0
27591,CPCB1703205345,2024-05-21 01:30:00,114,163,280,0,0,34.81,35.83,5,0
27598,CPCB1703205345,2024-05-21 01:45:00,114,163,280,0,0,34.81,35.41,5,0
27599,CPCB1703205345,2024-05-21 02:00:00,114,163,280,0,0,34.78,35.32,5,0
27604,CPCB1703205345,2024-05-21 02:15:00,113,162,277,0,0,34.17,36.48,5,0
27610,CPCB1703205345,2024-05-21 02:30:00,113,162,277,0,0,34.06,36.83,5,0
27619,CPCB1703205345,2024-05-21 02:45:00,113,162,277,0,0,34.06,37.02,5,0
27624,CPCB1703205345,2024-05-21 03:15:00,116,166,287,0,0,33.86,36.02,5,0
27633,CPCB1703205345,2024-05-21 03:30:00,116,166,287,0,0,32.89,39.19,5,0
27640,CPCB1703205345,2024-05-21 03:45:00,116,166,287,0,0,32.04,45.72,5,0
27645,CPCB1703205345,2024-05-21 04:15:00,134,192,311,0,0,31.74,47.56,5,0
27651,CPCB1703205345,2024-05-21 04:30:00,134,192,311,0,0,31.45,49.65,5,0
27652,CPCB1703205345,2024-05-21 04:45:00,134,192,311,0,0,31.17,51.09,5,0
27663,CPCB1703205345,2024-05-21 05:00:00,136,194,312,0,0,30.99,52.36,5,0
27666,CPCB1703205345,2024-05-21 05:15:00,138,198,314,0,0,30.87,53.97,5,0
27672,CPCB1703205345,2024-05-21 05:30:00,138,198,314,0,0,30.72,55.67,5,0
27679,CPCB1703205345,2024-05-21 05:45:00,138,198,314,0,0,30.92,55.76,5,0
27684,CPCB1703205345,2024-05-21 06:15:00,142,202,317,0,0,31.14,55.85,5,0
27688,CPCB1703205345,2024-05-21 06:30:00,142,202,317,0,0,31.46,54.94,5,0
27701,CPCB1703205345,2024-05-21 06:45:00,142,202,317,0,0,31.72,54.6,5,0
27706,CPCB1703205345,2024-05-21 07:15:00,153,218,325,0,0,32.36,51.73,5,0
27712,CPCB1703205345,2024-05-21 07:30:00,153,218,325,0,0,32.64,50.65,5,0
27723,CPCB1703205345,2024-05-21 07:45:00,153,218,325,0,0,32.81,50.36,5,0
27728,CPCB1703205345,2024-05-21 08:15:00,157,224,328,0,0,32.95,49.15,5,0
27734,CPCB1703205345,2024-05-21 08:30:00,157,224,328,0,0,33.4,48.01,5,0
27741,CPCB1703205345,2024-05-21 08:45:00,157,224,328,0,0,34.18,46.03,5,0
27745,CPCB1703205345,2024-05-21 09:15:00,160,229,331,0,0,35.36,42.72,5,0
27757,CPCB1703205345,2024-05-21 10:30:00,153,216,325,0,0,37.26,35.26,5,0
27766,CPCB1703205345,2024-05-21 10:45:00,194,277,357,0,0,37.28,34.48,5,0
27772,CPCB1703205345,2024-05-21 11:15:00,194,277,357,0,0,38,29.19,5,0
27779,CPCB1703205345,2024-05-21 11:30:00,184,263,349,0,0,38.73,26.65,5,0
27791,CPCB1703205345,2024-05-21 11:45:00,181,258,347,0,0,38.87,26.9,5,0
27797,CPCB1703205345,2024-05-21 12:15:00,181,258,347,0,0,39.33,28.03,5,0
27807,CPCB1703205345,2024-05-21 12:30:00,169,242,338,0,0,39.59,28.71,5,0
27816,CPCB1703205345,2024-05-21 12:45:00,166,237,335,0,0,39.54,28.11,5,0
27822,CPCB1703205345,2024-05-21 13:15:00,166,237,335,0,0,39.41,27.24,5,0
27830,CPCB1703205345,2024-05-21 13:30:00,165,236,335,0,0,39.66,26.74,5,0
27840,CPCB1703205345,2024-05-21 13:45:00,165,235,335,0,0,40.32,25.99,5,0
27866,CPCB1703205345,2024-05-21 15:15:00,49,292,242,0,0,40.21,22.78,5,0
27874,CPCB1703205345,2024-05-21 15:30:00,49,292,242,0,0,40.52,22.33,5,0
27881,CPCB1703205345,2024-05-21 15:45:00,62,271,221,0,0,40.46,22.51,5,0
27885,CPCB1703205345,2024-05-21 16:15:00,67,258,208,0,0,40.6,19.69,5,0
27893,CPCB1703205345,2024-05-21 16:30:00,67,258,208,0,0,40.36,20.39,5,0
27900,CPCB1703205345,2024-05-21 16:45:00,64,255,205,0,0,40.13,21.51,5,0
27904,CPCB1703205345,2024-05-21 17:15:00,63,254,204,0,0,39.71,21.15,5,0
27912,CPCB1703205345,2024-05-21 17:30:00,63,254,204,0,0,39.51,21.13,5,0
27920,CPCB1703205345,2024-05-21 17:45:00,65,248,199,0,0,39.17,22.57,5,0
27925,CPCB1703205345,2024-05-21 18:15:00,66,244,196,0,0,38.7,21.8,5,0
27933,CPCB1703205345,2024-05-21 18:30:00,66,244,196,0,0,38.63,21.64,5,0
27940,CPCB1703205345,2024-05-21 18:45:00,60,266,216,0,0,38.15,24.63,5,0
27944,CPCB1703205345,2024-05-21 19:15:00,59,279,229,0,0,37.46,30.42,5,0
27951,CPCB1703205345,2024-05-21 19:30:00,59,279,229,0,0,37.01,32.24,5,0
27960,CPCB1703205345,2024-05-21 19:45:00,68,310,260,0,0,36.7,33.31,5,0
27965,CPCB1703205345,2024-05-21 20:15:00,71,330,280,0,0,36.15,34.94,5,0
27972,CPCB1703205345,2024-05-21 20:30:00,71,330,280,0,0,35.88,35.13,5,0
27981,CPCB1703205345,2024-05-21 20:45:00,88,366,320,0,0,35.55,35.41,5,0
27986,CPCB1703205345,2024-05-21 21:15:00,94,389,349,0,0,35.06,37,5,0
27995,CPCB1703205345,2024-05-21 21:30:00,94,389,349,0,0,35.05,36.71,5,0
28002,CPCB1703205345,2024-05-21 21:45:00,99,393,354,0,0,34.97,36.93,5,0
28007,CPCB1703205345,2024-05-21 22:15:00,101,396,358,0,0,34.76,38.25,5,0
28015,CPCB1703205345,2024-05-21 22:30:00,101,396,358,0,0,34.49,39.08,5,0
28020,CPCB1703205345,2024-05-21 22:45:00,94,374,330,0,0,34.26,39.79,5,0
28023,CPCB1703205345,2024-05-21 23:15:00,92,359,311,0,0,34.31,39.36,5,0
28037,CPCB1703205345,2024-05-21 23:45:00,93,325,275,0,0,33.81,41.27,5,0
28042,CPCB1703205345,2024-05-22 00:15:00,94,304,254,0,0,33.44,42.75,5,0
28051,CPCB1703205345,2024-05-22 00:30:00,94,304,254,0,0,33.33,43,5,0
28058,CPCB1703205345,2024-05-22 00:45:00,108,316,266,0,0,33.31,43.02,5,0
28063,CPCB1703205345,2024-05-22 01:15:00,113,324,277,0,0,33.06,44.33,5,0
28072,CPCB1703205345,2024-05-22 01:30:00,113,324,277,0,0,32.75,45.65,5,0
28079,CPCB1703205345,2024-05-22 01:45:00,119,316,297,0,0,32.56,46.68,5,0
28084,CPCB1703205345,2024-05-22 02:15:00,121,310,301,0,0,32.56,47.39,5,0
28091,CPCB1703205345,2024-05-22 02:30:00,121,310,301,0,0,32.53,47.47,5,0
28098,CPCB1703205345,2024-05-22 02:45:00,110,305,267,0,0,32.56,47.14,5,0
28103,CPCB1703205345,2024-05-22 03:15:00,106,302,253,0,0,32.56,46.66,5,0
28110,CPCB1703205345,2024-05-22 03:30:00,106,302,253,0,0,32.56,46.46,5,0
28117,CPCB1703205345,2024-05-22 03:45:00,103,264,243,0,0,32.35,46.6,5,0
28122,CPCB1703205345,2024-05-22 04:15:00,101,240,237,0,0,31.99,47.93,5,0
28131,CPCB1703205345,2024-05-22 04:30:00,101,240,237,0,0,31.76,48.47,5,0
28138,CPCB1703205345,2024-05-22 04:45:00,97,238,223,0,0,31.65,48.91,5,0
28143,CPCB1703205345,2024-05-22 05:15:00,95,237,217,0,0,31.28,52.52,5,0
28150,CPCB1703205345,2024-05-22 05:30:00,95,237,217,0,0,31.28,52.48,5,0
28154,CPCB1703205345,2024-05-22 05:45:00,91,244,203,0,0,31.4,52.24,5,0
28162,CPCB1703205345,2024-05-22 06:15:00,90,248,200,0,0,31.72,51.26,5,0
28169,CPCB1703205345,2024-05-22 06:30:00,90,248,200,0,0,31.89,51.12,5,0
28170,CPCB1703205345,2024-05-22 06:45:00,84,243,195,0,0,32.21,50.32,5,0
28183,CPCB1703205345,2024-05-22 07:40:05,0,0,0,0,0,0,0,0,0
28195,CPCB1703205345,2024-05-22 07:45:00,88,243,195,0,0,33.5,46.75,5,0
28197,CPCB1703205345,2024-05-22 08:00:00,91,245,203,0,0,34.05,45.57,5,0
28203,CPCB1703205345,2024-05-22 08:15:00,91,245,203,0,0,34.69,44.26,5,0
28210,CPCB1703205345,2024-05-22 08:30:00,91,245,203,0,0,35.45,42.68,5,0
