CreatedDate,pm25_Surender: Living room,pm10_Surender: Living room,co2_Surender: Living room,voc_Surender: Living room,temperature_Surender: Living room,humidity_Surender: Living room
30-04-2024 01:00,28,77.5,433.5,187.5,30.5,42
30-04-2024 02:00,26.5,71.5,428.5,109,30,42
30-04-2024 03:00,26.5,72.5,424.5,119,29.5,42
30-04-2024 04:00,42,110.5,428.5,92.5,29,42
30-04-2024 05:00,47.5,123,432.5,97.5,29,42
30-04-2024 06:00,45,117,445.5,181.5,29,42.5
30-04-2024 07:00,64,156,463,176.5,29,41.5
30-04-2024 08:00,82,177.5,494.5,368,29,41.5
30-04-2024 09:00,79,176.5,469.5,204,29,43
30-04-2024 10:00,83.5,177.5,473,137.5,28,45
30-04-2024 11:00,46,119,453.5,94.5,29,43
30-04-2024 12:00,37,98,421,40.5,29,40
30-04-2024 13:00,27,75.5,436,73.5,29,38
30-04-2024 14:00,25.5,69.5,442,55.5,29,37.5
30-04-2024 15:00,25.5,71,420,43,29.5,37.5
30-04-2024 16:00,21.5,61,413,58,29,36.5
30-04-2024 17:00,52.5,119,423.5,145,30,37
30-04-2024 18:00,23,64.5,447,134,30,36.5
30-04-2024 19:00,20,57.5,459.5,116.5,29.5,34.5
30-04-2024 20:00,32,87,456,245,30.5,33.5
30-04-2024 21:00,42.5,111.5,526,305.5,29.5,35.5
30-04-2024 22:00,50.5,129,517.5,545.5,29.5,34.5
30-04-2024 23:00,49.5,128,505,548,29,37
01-05-2024 00:00,60.5,151.5,491,666.5,30,36
01-05-2024 01:00,60,152,473.5,618,29,35.5
01-05-2024 02:00,60,146.5,466.5,484.5,29,35
01-05-2024 03:00,94,189,452,357.5,29,35
01-05-2024 04:00,74,166,436,198,28,35
01-05-2024 05:00,36.5,99.5,422.5,138.5,28,36
01-05-2024 06:00,29,81.5,440,204.5,28,37
01-05-2024 07:00,38.5,104,457,267.5,29,37
01-05-2024 08:00,47.5,125,451.5,528.5,28,37.5
01-05-2024 09:00,55.5,139.5,456.5,388,28,37
01-05-2024 10:00,93.5,184.5,497,526,29,36.5
01-05-2024 11:00,30.5,84,439.5,121,28,34.5
01-05-2024 12:00,20.5,56.5,426.5,51.5,28,32.5
01-05-2024 13:00,19.5,53.5,425,73.5,28,32
01-05-2024 14:00,22,61,487.5,98,28.5,32
01-05-2024 15:00,23.5,65,409.5,52,28,31
01-05-2024 16:00,26.5,72.5,413,73.5,28.5,32
01-05-2024 17:00,22,61.5,411,65,29,32
01-05-2024 18:00,26.5,70.5,435,71.5,28.5,32
01-05-2024 19:00,31.5,85,485.5,200.5,29,30
01-05-2024 20:00,36.5,93,518.5,298,30,31
01-05-2024 21:00,55,134.5,548,596,28.5,33.5
01-05-2024 22:00,36,96,467,250.5,28,34.5
01-05-2024 23:00,32,87.5,465.5,324.5,28.5,33.5
02-05-2024 00:00,35.5,96,449,271.5,29,33.5
02-05-2024 01:00,46.5,120.5,434.5,192,28.5,32
02-05-2024 02:00,59,150.5,433,187,28,34.5
02-05-2024 03:00,61,153.5,433.5,229.5,28,35
02-05-2024 04:00,61,153,441.5,254.5,28,36
02-05-2024 05:00,73,168,453.5,393,28,36
02-05-2024 06:00,73,167.5,466.5,538.5,28,35
02-05-2024 07:00,99,193,468,545.5,28,35.5
02-05-2024 08:00,84.5,179,475.5,575,28,37
02-05-2024 09:00,89,182.5,476.5,471.5,28,38.5
02-05-2024 10:00,138,237.5,536,644,27.5,38
02-05-2024 11:00,100,185,466,415.5,28,36
02-05-2024 12:00,30,82,419,82.5,27.5,37
02-05-2024 13:00,29,79.5,424.5,85,28,36.5
02-05-2024 14:00,31.5,85,481,124.5,27.5,37
02-05-2024 15:00,27.5,75,524.5,150,28,36.5
02-05-2024 16:00,27,73.5,419,85,28.5,37
02-05-2024 17:00,24.5,66.5,410,84,29,36.5
02-05-2024 18:00,37,97.5,426.5,161,29,37
02-05-2024 19:00,37.5,99.5,476.5,288.5,30,35
02-05-2024 20:00,48,123,541.5,401.5,29,35.5
02-05-2024 21:00,59,150,614,698.5,29,36
02-05-2024 22:00,58,150,527.5,643,28.5,37.5
02-05-2024 23:00,61,153,509,563.5,28.5,37.5
03-05-2024 00:00,70,164,474.5,909,29,37.5
03-05-2024 01:00,79.5,173.5,461,1016.5,29,36.5
03-05-2024 02:00,101,194.5,458.5,679.5,28,37
03-05-2024 03:00,155.5,250.5,454,493,28,36.5
03-05-2024 04:00,201.5,316.5,453,410,28,36.5
03-05-2024 05:00,193,302.5,456,350.5,27,37
03-05-2024 06:00,165.5,262,483.5,1026.5,28,37.5
03-05-2024 07:00,157,251,511.5,1192,28,37.5
03-05-2024 08:00,166,263.5,494,598.5,28,39
03-05-2024 09:00,116.5,209,483,495.5,28,38
03-05-2024 10:00,128,225,590,363,27.5,38
03-05-2024 11:00,60,151,519.5,93,28,35
03-05-2024 12:00,48,123.5,420.5,63,28,35.5
03-05-2024 13:00,48,123.5,428.5,70,28,34.5
03-05-2024 14:00,35,96.5,421.5,84.5,28.5,35.5
03-05-2024 15:00,46.5,134,418.5,117,29,36
03-05-2024 16:00,48,139,421.5,74.5,29,36.5
03-05-2024 17:00,50.5,147,419.5,96.5,29,35
03-05-2024 18:00,80.5,230,434.5,225.5,29.5,36.5
03-05-2024 19:00,65,194.5,460.5,356,30,35
03-05-2024 20:00,81.5,248.5,484.5,325.5,30,34
03-05-2024 21:00,89.5,271,476.5,434,30,34.5
03-05-2024 22:00,92.5,275.5,549,578.5,30,33.5
03-05-2024 23:00,114,312.5,520.5,571.5,29.5,36
04-05-2024 00:00,108,302,514,681.5,28,39.5
04-05-2024 01:00,89,270.5,494,546,28.5,40
04-05-2024 02:00,83.5,258,459,448,29,37
04-05-2024 03:00,94.5,278.5,492,706.5,29,39.5
04-05-2024 04:00,94.5,279.5,499.5,717,29,39.5
04-05-2024 05:00,102.5,291.5,487.5,720,29,39.5
04-05-2024 06:00,149,362.5,468.5,395.5,29,38
04-05-2024 07:00,187,399.5,490.5,513,29,39.5
04-05-2024 08:00,206.5,417,489.5,659.5,29,39
04-05-2024 09:00,191.5,404.5,503,651.5,29,40.5
04-05-2024 10:00,198,409,551.5,630.5,28,38.5
04-05-2024 11:00,154,367,452.5,225,29,37
04-05-2024 12:00,95,280,458.5,131.5,28.5,37.5
04-05-2024 13:00,105,294.5,535,171,29.5,36.5
04-05-2024 14:00,56,165,461.5,128.5,30,34
04-05-2024 15:00,59,175,426.5,134.5,30,34.5
04-05-2024 16:00,58.5,172.5,418.5,102,30.5,34.5
04-05-2024 17:00,41.5,119,424.5,94.5,30,35.5
04-05-2024 18:00,80,220.5,429,222.5,31,34
04-05-2024 19:00,91.5,274,444.5,685.5,32,34
04-05-2024 20:00,109,302.5,476,729,31.5,34
04-05-2024 21:00,129.5,335.5,591.5,1796.5,32,35
04-05-2024 22:00,128.5,332.5,661,3091,32,38
04-05-2024 23:00,99.5,288,518.5,833.5,32,36.5
05-05-2024 00:00,94.5,279.5,496,540,31,36
05-05-2024 01:00,94,278.5,473,399.5,31,36
05-05-2024 02:00,90,271,479,460.5,31,36.5
05-05-2024 03:00,89.5,270,484.5,479.5,30,36.5
05-05-2024 04:00,74.5,232.5,466,328.5,30,37.5
05-05-2024 05:00,64.5,193.5,458,307.5,30,38.5
05-05-2024 06:00,101.5,290.5,461.5,272,30,38.5
05-05-2024 07:00,146.5,359,464,249.5,30,38
05-05-2024 08:00,102,290,471.5,304,30,39.5
05-05-2024 09:00,96,275.5,437,130.5,30,38
05-05-2024 10:00,178,385,480.5,209.5,30,38
05-05-2024 11:00,97.5,283.5,497.5,113.5,29,39
05-05-2024 12:00,99.5,286.5,458,121.5,29,39
05-05-2024 13:00,61.5,185,442.5,108,30,36.5
05-05-2024 14:00,61,182,473,92.5,29.5,37.5
05-05-2024 15:00,54,159.5,441,101.5,29.5,38.5
05-05-2024 16:00,47,136.5,425,88.5,30.5,37
05-05-2024 17:00,50.5,149,430,96,31.5,36
05-05-2024 18:00,81,241,437,162,32,35
05-05-2024 19:00,56,165,482.5,217.5,32,32.5
05-05-2024 20:00,65.5,196,479.5,268,32,35.5
05-05-2024 21:00,77,240.5,471.5,370,32,34.5
05-05-2024 22:00,85.5,261,477,435.5,32,35.5
05-05-2024 23:00,90.5,272.5,506,525,31.5,37
06-05-2024 00:00,92.5,276,474,516,32,36.5
06-05-2024 01:00,105,297,453,403,32,36
06-05-2024 02:00,85.5,261.5,440.5,276.5,32,36.5
06-05-2024 03:00,73,222.5,431.5,205.5,31,37
06-05-2024 04:00,78,247.5,432,207,31,38
06-05-2024 05:00,80,252,441,271.5,31,38.5
06-05-2024 06:00,84.5,260.5,468,549.5,31,39.5
06-05-2024 07:00,122,322,490,442.5,31,40
06-05-2024 08:00,146,357.5,461,274.5,31,40.5
06-05-2024 09:00,114,312,482,378.5,31,40
06-05-2024 10:00,81,241.5,501.5,276.5,30.5,40.5
06-05-2024 11:00,75,217.5,497,146,30,40
