CreatedDate,pm25_Mariyam_LR1,pm10_Mariyam_LR1,aqi_Mariyam_LR1
01-05-2024 00:15,32,87,87
01-05-2024 00:30,31,86,86
01-05-2024 00:45,31,85,85
01-05-2024 01:00,39,110,107
01-05-2024 01:15,42,114,109
01-05-2024 01:30,45,117,111
01-05-2024 01:45,63,158,139
01-05-2024 02:00,83,191,177
01-05-2024 02:15,69,169,146
01-05-2024 02:30,78,186,160
01-05-2024 02:45,85,198,183
01-05-2024 03:00,83,196,177
01-05-2024 03:15,81,192,170
01-05-2024 03:30,71,174,149
01-05-2024 03:45,62,156,137
01-05-2024 04:00,55,143,129
01-05-2024 04:15,43,112,108
01-05-2024 04:30,39,104,103
01-05-2024 04:45,36,98,98
01-05-2024 05:00,34,94,94
01-05-2024 05:15,33,91,91
01-05-2024 05:30,31,88,88
01-05-2024 05:45,31,87,87
01-05-2024 06:00,30,86,86
01-05-2024 06:15,30,85,85
01-05-2024 06:30,28,81,81
01-05-2024 06:45,27,78,78
01-05-2024 07:00,27,78,78
01-05-2024 07:15,28,80,80
01-05-2024 07:30,31,85,85
01-05-2024 07:45,35,95,95
01-05-2024 08:00,37,100,100
01-05-2024 08:15,40,107,105
01-05-2024 08:30,40,108,105
01-05-2024 08:45,51,137,125
01-05-2024 09:00,56,152,135
01-05-2024 09:15,58,155,137
01-05-2024 09:30,57,151,134
01-05-2024 09:45,46,120,113
01-05-2024 10:00,37,97,97
01-05-2024 10:15,30,82,82
01-05-2024 10:30,31,86,86
01-05-2024 10:45,27,78,78
01-05-2024 11:00,26,74,74
01-05-2024 11:15,23,66,66
01-05-2024 11:30,21,60,60
01-05-2024 11:45,20,59,59
01-05-2024 12:00,20,61,61
01-05-2024 12:15,20,60,60
01-05-2024 12:30,17,51,51
01-05-2024 12:45,15,47,47
01-05-2024 13:00,18,55,55
01-05-2024 13:15,17,52,52
01-05-2024 13:30,18,57,57
01-05-2024 13:45,17,56,56
01-05-2024 14:00,17,54,54
01-05-2024 14:15,20,59,59
01-05-2024 14:30,20,59,59
01-05-2024 14:45,20,58,58
01-05-2024 15:00,20,58,58
01-05-2024 15:15,21,62,62
01-05-2024 15:30,21,62,62
01-05-2024 15:45,22,65,65
01-05-2024 16:00,25,76,76
01-05-2024 16:15,23,69,69
01-05-2024 16:30,25,70,70
01-05-2024 16:45,25,71,71
01-05-2024 17:00,23,66,66
01-05-2024 17:15,22,63,63
01-05-2024 17:30,21,61,61
01-05-2024 17:45,21,60,60
01-05-2024 18:00,20,58,58
01-05-2024 18:15,20,58,58
01-05-2024 18:30,20,58,58
01-05-2024 18:45,20,59,59
01-05-2024 19:00,20,61,61
01-05-2024 19:15,20,61,61
01-05-2024 19:30,21,63,63
01-05-2024 19:45,22,65,65
01-05-2024 20:00,25,71,71
01-05-2024 20:15,25,72,72
01-05-2024 20:30,26,73,73
01-05-2024 20:45,26,74,74
01-05-2024 21:00,29,81,81
01-05-2024 21:15,33,88,88
01-05-2024 21:30,33,88,88
01-05-2024 21:45,31,84,84
01-05-2024 22:00,31,84,84
01-05-2024 22:15,30,82,82
01-05-2024 22:30,31,84,84
01-05-2024 22:45,32,87,87
01-05-2024 23:00,34,91,91
01-05-2024 23:15,35,93,93
01-05-2024 23:30,35,93,93
01-05-2024 23:45,37,97,97
02-05-2024 00:00,36,96,96
02-05-2024 00:15,37,97,97
02-05-2024 00:30,36,96,96
02-05-2024 00:45,40,103,102
02-05-2024 01:00,41,107,105
02-05-2024 01:15,41,107,105
02-05-2024 01:30,43,110,107
02-05-2024 01:45,42,109,106
02-05-2024 02:00,42,108,105
02-05-2024 02:15,44,114,109
02-05-2024 02:30,50,128,119
02-05-2024 02:45,51,130,120
02-05-2024 03:00,49,124,116
02-05-2024 03:15,47,119,113
02-05-2024 03:30,45,114,109
02-05-2024 03:45,46,117,111
02-05-2024 04:00,45,115,110
02-05-2024 04:15,44,113,109
02-05-2024 04:30,45,115,110
02-05-2024 04:45,44,112,108
02-05-2024 05:00,47,121,114
02-05-2024 05:15,59,153,135
02-05-2024 05:30,53,138,125
02-05-2024 05:45,55,140,127
02-05-2024 06:00,73,179,153
02-05-2024 06:15,80,192,167
02-05-2024 06:30,80,192,167
02-05-2024 06:45,86,201,187
02-05-2024 07:00,99,212,230
02-05-2024 07:15,113,221,277
02-05-2024 07:30,110,218,267
02-05-2024 07:45,90,204,200
02-05-2024 08:00,73,177,151
02-05-2024 08:15,68,166,144
02-05-2024 08:30,62,155,137
