,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,
Date,01-05-2024,02-05-2024,03-05-2024,04-05-2024,05-05-2024,06-05-2024,07-05-2024,08-05-2024,09-05-2024,10-05-2024,11-05-2024,12-05-2024,13-05-2024,14-05-2024,15-05-2024,16-05-2024,17-05-2024,18-05-2024,19-05-2024,,01-05-2024,02-05-2024,03-05-2024,04-05-2024,05-05-2024,06-05-2024,07-05-2024,08-05-2024,09-05-2024,10-05-2024,11-05-2024,12-05-2024,13-05-2024,14-05-2024,15-05-2024,16-05-2024,17-05-2024,18-05-2024,19-05-2024,,01-05-2024,02-05-2024,03-05-2024,04-05-2024,05-05-2024,06-05-2024,07-05-2024,08-05-2024,09-05-2024,10-05-2024,11-05-2024,12-05-2024,13-05-2024,14-05-2024,15-05-2024,16-05-2024,17-05-2024,18-05-2024,19-05-2024,
Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00,138.33333333333334,126,140.25,235.5,210.25,271.5,312.25,213.5,177.75,167.5,58,174.5,224.5,238.25,244,247.25,232.25,239.25,224.25,,157.66666666666666,139.25,160.75,285,260.25,303.75,343.5,263.5,216.5,201.25,58,211,274.5,288.25,294,297.25,282.25,289.25,274.25,,60.333333333333336,49.5,65.25,100.25,79.25,111.5,136.25,81,65,61.75,25,64.25,91.25,86.5,85.25,87,79.75,82.5,78,
01:00:00,133.25,129.25,141.75,232.25,194.75,233.75,327.5,218.5,163.5,186,30.5,210.25,223.5,239.25,260.5,249.75,215.25,244,238.5,,150,144,162.75,282.25,241.75,283.25,366.5,268.5,195,229.25,30.5,260.25,273.5,289.25,310.5,299.75,265.25,294,288.5,,56.75,51.25,68.5,98.25,71.25,99,153.25,85.25,60.25,68,14.5,79.5,90.75,87.25,96.75,89,75.25,85,82.5,
02:00:00,156.5,136.25,167.25,228,201,222.25,376.5,221.25,153,193,26.5,204.75,225.5,236.5,286.25,251.75,229.75,247.25,238.25,,169.5,154.25,172.5,278,251,272.25,411.25,271.25,179.5,239.5,26.5,254.75,275.5,286.5,336.25,301.75,279.75,297.25,288.25,,77,57,80.25,95,74.25,89,191.25,87.75,56.75,70.75,12.5,76,92.75,84,110.25,91.5,78.75,87,82.5,
03:00:00,131.5,154,294.75,281.5,208,217.75,465,215,145.5,196.75,115.25,222.25,225.75,240,296.25,246.5,224,253.75,264.5,,145.25,166.5,217.25,317.75,258,267.75,482,265,168.5,245.25,126.75,272.25,275.75,290,346.25,296.5,274,303.75,314.5,,57.25,71,125.75,120.25,78,84.75,246.75,82.25,54,72.5,40.25,88.5,92.75,88.5,117,87,76.75,92.75,97.25,
04:00:00,118.5,199,364.75,440,221,227.5,479,215.75,138.75,204.75,135.5,223.25,228.5,291,313.25,241,235.5,279,288.75,,128,183.5,352.5,462,271,277.5,493.25,265.75,158,254.75,153,273.25,278.5,329.5,360.5,291,285.5,329,338.75,,44.75,89.75,204.5,232.75,87.5,94.25,256.25,82.25,51.25,76,48.5,90,95.5,117.25,130,83.25,81,105.5,109.5,
05:00:00,135,175,385,542.75,352,304.75,445.5,209.5,127.5,210.75,137,222.5,219,309.25,314,244,220.75,266.5,290.25,,152.5,175.25,394,544,381,339.5,466.5,259.5,141.25,260.75,155.5,270.75,269,353.5,361.25,294,270.75,316.5,340.25,,58.25,82.5,230.5,309.75,166,134.5,233.5,78.75,47,79.5,50.5,87.5,85.5,130.75,130,85.25,77,100,109.75,
06:00:00,121.25,292.5,443,548.5,477.5,449.75,474.5,205.5,138.75,214.25,150.5,269.75,215.75,407.25,299.5,248.75,248.5,249.25,286.75,,131.75,218,462.25,548.5,492,469.75,489.5,255.5,158,264.25,175.75,305.75,265.75,435.75,349.25,298.75,298.5,299.25,336.75,,46.25,125.25,303.75,315.5,254.75,237.75,258.75,76.5,51.25,81.25,56,110.75,82.5,189.25,118,88.5,88.5,88.75,108,
07:00:00,110,325.5,399,481.75,459,435.25,562,198.75,141.5,206,209.75,256.25,205.5,475.25,293.5,248,258.25,256.75,290,,114.75,261.25,409.25,495.5,477.25,458.25,559.5,247.25,162,256,257,303.5,254.75,490.25,343.5,298,308.25,306.75,340,,39.75,153.25,248.5,258.25,241.75,227.25,333.5,73.5,52.25,77,78.5,105.5,76.5,237,114,87.5,95.75,94.25,110.75,
