,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5
Date,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20
Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00,138.33333333333334,126.0,140.25,235.5,210.25,271.5,312.25,213.5,177.75,167.5,58.0,174.5,224.5,238.25,244.0,247.25,232.25,239.25,224.25,104.0,157.66666666666666,139.25,160.75,285.0,260.25,303.75,343.5,263.5,216.5,201.25,58.0,211.0,274.5,288.25,294.0,297.25,282.25,289.25,274.25,106.0,60.333333333333336,49.5,65.25,100.25,79.25,111.5,136.25,81.0,65.0,61.75,25.0,64.25,91.25,86.5,85.25,87.0,79.75,82.5,78.0,40.0
01:00:00,133.25,129.25,141.75,232.25,194.75,233.75,327.5,218.5,163.5,186.0,30.5,210.25,223.5,239.25,260.5,249.75,215.25,244.0,238.5,,150.0,144.0,162.75,282.25,241.75,283.25,366.5,268.5,195.0,229.25,30.5,260.25,273.5,289.25,310.5,299.75,265.25,294.0,288.5,,56.75,51.25,68.5,98.25,71.25,99.0,153.25,85.25,60.25,68.0,14.5,79.5,90.75,87.25,96.75,89.0,75.25,85.0,82.5,
02:00:00,156.5,136.25,167.25,228.0,201.0,222.25,376.5,221.25,153.0,193.0,26.5,204.75,225.5,236.5,286.25,251.75,229.75,247.25,238.25,,169.5,154.25,172.5,278.0,251.0,272.25,411.25,271.25,179.5,239.5,26.5,254.75,275.5,286.5,336.25,301.75,279.75,297.25,288.25,,77.0,57.0,80.25,95.0,74.25,89.0,191.25,87.75,56.75,70.75,12.5,76.0,92.75,84.0,110.25,91.5,78.75,87.0,82.5,
03:00:00,131.5,154.0,294.75,281.5,208.0,217.75,465.0,215.0,145.5,196.75,115.25,222.25,225.75,240.0,296.25,246.5,224.0,253.75,264.5,,145.25,166.5,217.25,317.75,258.0,267.75,482.0,265.0,168.5,245.25,126.75,272.25,275.75,290.0,346.25,296.5,274.0,303.75,314.5,,57.25,71.0,125.75,120.25,78.0,84.75,246.75,82.25,54.0,72.5,40.25,88.5,92.75,88.5,117.0,87.0,76.75,92.75,97.25,
04:00:00,118.5,199.0,364.75,440.0,221.0,227.5,479.0,215.75,138.75,204.75,135.5,223.25,228.5,291.0,313.25,241.0,235.5,279.0,288.75,,128.0,183.5,352.5,462.0,271.0,277.5,493.25,265.75,158.0,254.75,153.0,273.25,278.5,329.5,360.5,291.0,285.5,329.0,338.75,,44.75,89.75,204.5,232.75,87.5,94.25,256.25,82.25,51.25,76.0,48.5,90.0,95.5,117.25,130.0,83.25,81.0,105.5,109.5,
05:00:00,135.0,175.0,385.0,542.75,352.0,304.75,445.5,209.5,127.5,210.75,137.0,222.5,219.0,309.25,314.0,244.0,220.75,266.5,290.25,,152.5,175.25,394.0,544.0,381.0,339.5,466.5,259.5,141.25,260.75,155.5,270.75,269.0,353.5,361.25,294.0,270.75,316.5,340.25,,58.25,82.5,230.5,309.75,166.0,134.5,233.5,78.75,47.0,79.5,50.5,87.5,85.5,130.75,130.0,85.25,77.0,100.0,109.75,
06:00:00,121.25,292.5,443.0,548.5,477.5,449.75,474.5,205.5,138.75,214.25,150.5,269.75,215.75,407.25,299.5,248.75,248.5,249.25,286.75,,131.75,218.0,462.25,548.5,492.0,469.75,489.5,255.5,158.0,264.25,175.75,305.75,265.75,435.75,349.25,298.75,298.5,299.25,336.75,,46.25,125.25,303.75,315.5,254.75,237.75,258.75,76.5,51.25,81.25,56.0,110.75,82.5,189.25,118.0,88.5,88.5,88.75,108.0,
07:00:00,110.0,325.5,399.0,481.75,459.0,435.25,562.0,198.75,141.5,206.0,209.75,256.25,205.5,475.25,293.5,248.0,258.25,256.75,290.0,,114.75,261.25,409.25,495.5,477.25,458.25,559.5,247.25,162.0,256.0,257.0,303.5,254.75,490.25,343.5,298.0,308.25,306.75,340.0,,39.75,153.25,248.5,258.25,241.75,227.25,333.5,73.5,52.25,77.0,78.5,105.5,76.5,237.0,114.0,87.5,95.75,94.25,110.75,
08:00:00,107.75,230.5,348.0,461.5,459.0,378.5,548.75,199.25,141.0,207.0,208.5,225.25,243.25,407.0,302.0,252.25,270.75,253.0,305.75,,111.75,195.25,313.75,479.25,477.25,412.5,549.0,248.5,161.75,257.0,255.75,275.25,289.5,435.75,351.5,302.25,320.75,303.0,354.5,,40.0,101.75,182.75,243.75,242.25,191.75,317.75,73.25,52.0,77.5,79.25,87.5,101.5,198.5,121.25,91.25,102.25,92.0,124.0,
09:00:00,105.0,125.0,269.25,370.25,433.25,322.0,507.0,202.75,146.5,208.75,148.75,213.75,315.75,320.25,301.0,249.25,235.75,240.75,297.5,,107.5,137.5,211.75,406.25,456.5,357.75,515.75,252.5,169.75,258.75,173.0,263.75,350.25,359.75,350.5,299.25,285.75,290.75,347.0,,38.0,50.25,118.25,186.25,225.0,146.75,282.25,75.25,54.0,78.5,54.25,80.0,141.0,140.0,121.0,88.25,82.75,83.5,117.5,
10:00:00,80.0,90.75,150.25,374.5,328.25,227.75,310.25,215.5,153.0,208.5,165.75,148.25,233.5,264.0,244.5,246.75,215.25,249.0,271.5,,80.0,90.75,166.0,405.5,363.0,273.5,346.75,265.5,179.5,258.5,198.25,172.5,280.75,312.0,294.5,296.75,264.0,299.0,321.5,,28.0,32.75,73.0,184.5,153.25,91.5,142.75,82.25,56.75,78.5,60.25,54.5,95.75,106.0,88.25,86.5,75.0,88.5,102.75,
11:00:00,60.0,76.75,116.0,283.75,196.0,159.0,145.25,216.0,164.25,206.0,149.75,152.5,217.5,232.25,195.5,245.5,206.25,260.5,245.5,,60.0,76.75,123.75,312.0,241.5,188.25,168.25,266.0,196.25,256.0,174.5,179.25,267.5,282.25,243.0,295.5,255.75,310.5,295.5,,21.5,27.75,44.75,116.25,73.5,58.25,53.75,82.5,60.75,77.0,55.25,56.25,84.0,81.25,70.0,86.0,73.0,97.0,87.0,
12:00:00,47.25,76.5,93.75,217.25,185.0,108.0,151.5,210.75,170.0,206.25,140.5,165.5,214.75,223.0,204.25,245.75,161.25,238.0,194.75,,47.25,76.5,93.75,264.5,226.25,112.5,177.0,260.75,205.0,256.25,160.75,198.0,264.75,273.0,252.25,295.75,191.75,288.0,239.0,,15.5,28.0,34.0,85.25,68.75,39.75,55.75,79.5,62.25,77.0,52.25,61.0,82.0,75.75,72.5,86.25,59.5,85.0,69.75,
13:00:00,53.0,70.75,112.0,204.5,132.25,109.0,168.5,202.0,167.0,206.25,143.0,142.0,209.75,218.0,191.0,248.5,152.5,163.75,348.75,,53.0,70.75,118.25,254.0,148.5,113.5,202.75,251.75,200.5,256.25,164.75,163.25,258.75,268.0,236.75,298.5,178.5,195.75,373.0,,18.0,26.0,41.0,76.5,48.5,39.75,62.0,74.75,61.25,77.0,53.25,52.5,79.25,73.25,69.0,88.25,56.5,60.75,160.25,
